iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3,tpd_particle_4,tpd_particle_5,tpd_particle_6,tpd_particle_7,tpd_particle_8,tpd_particle_9,tpd_particle_10
1,38.5,41.79,37.5,47.5,40.0,36.25,52.5,41.25,52.5,42.5
2,47.5,42.5,43.5,47.5,47.5,36.25,36.25,52.5,52.5,38.5
3,41.79,43.5,41.25,38.5,41.25,36.25,36.25,37.5,40.0,38.5
4,41.79,42.5,37.5,52.5,45.0,36.25,36.25,40.0,40.0,43.5
5,36.79,47.5,52.5,47.5,52.5,36.25,36.25,40.0,43.5,38.5
6,35.0,47.5,41.25,36.25,36.25,36.25,37.5,52.5,36.0,52.5
7,35.0,43.5,41.25,41.25,41.25,42.5,37.5,42.5,42.5,37.5
8,35.0,52.5,35.0,41.25,42.5,42.5,33.5,37.5,40.0,42.5
9,42.5,42.5,37.5,42.5,42.5,42.5,33.5,37.5,36.25,35.0
10,42.5,52.5,42.5,42.5,37.5,42.5,33.5,42.5,43.5,35.0
11,42.5,41.79,33.5,42.5,42.5,37.5,33.5,42.5,34.5,35.0
12,42.5,41.25,37.5,42.5,42.5,37.5,33.5,42.5,32.79,45.0
13,37.5,47.5,33.5,45.0,36.25,38.5,36.0,42.5,32.79,45.0
14,35.0,38.5,32.25,43.5,36.25,43.5,43.5,32.25,38.5,40.0
15,45.0,32.25,32.25,32.25,36.25,32.25,43.5,32.25,43.5,45.0
16,45.0,32.25,32.25,32.25,32.25,32.25,43.5,32.25,43.5,33.75
17,43.5,32.25,32.25,32.25,32.25,32.25,43.5,32.25,32.25,33.75
18,43.5,32.25,32.25,32.25,32.25,32.25,43.5,32.25,32.25,33.75
19,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25
20,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25
21,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25
22,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25
23,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25
