iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3
1,6.32,7.76,7.83
2,6.93,7.32,8.17
3,9.0,6.93,8.0
4,8.17,7.32,8.33
5,7.21,8.17,8.33
6,9.21,7.83,6.82
7,8.0,9.21,6.64
8,8.33,6.67,6.25
9,6.82,8.15,6.64
10,6.64,6.82,6.64
11,6.25,6.25,6.93
12,6.64,6.25,7.32
13,6.93,6.25,7.93
14,7.32,6.93,9.0
15,6.1,6.48,7.54
16,7.17,6.93,7.67
17,8.17,9.0,9.21
18,6.0,8.17,6.67
19,9.21,7.21,8.15
20,6.67,9.21,6.82
21,8.15,8.0,6.82
22,6.82,8.33,6.64
23,6.48,6.82,6.25
24,6.25,6.64,7.32
25,6.25,6.25,6.25
26,7.32,6.64,7.32
27,6.25,6.93,7.93
28,8.32,7.32,7.17
29,7.93,6.93,7.54
30,9.0,9.0,7.83
31,7.54,8.17,9.21
32,7.83,7.21,8.0
33,9.21,9.21,8.33
34,9.21,8.0,6.82
35,8.0,8.33,6.64
36,8.15,8.15,6.25
37,8.5,6.82,7.32
38,8.32,6.82,6.1
39,6.93,6.64,6.25
40,6.48,6.93,7.93
41,6.25,7.32,7.17
42,8.32,6.25,8.0
43,6.93,8.32,7.83
44,8.83,7.93,8.32
45,8.17,9.0,8.17
46,7.83,8.17,7.76
47,9.21,7.21,6.82
48,8.0,9.21,6.48
49,8.33,8.0,6.93
50,6.82,8.33,6.48
51,6.64,6.82,6.25
52,6.93,6.64,8.32
53,6.64,6.25,6.93
54,6.25,6.64,8.83
55,8.32,6.93,8.17
56,6.93,7.32,7.83
57,8.83,6.93,9.21
58,8.17,7.93,8.0
59,7.83,7.17,8.33
60,9.21,7.54,6.82
61,8.0,7.83,6.64
62,8.33,9.21,6.93
63,6.82,6.67,6.64
64,6.64,8.15,6.1
65,6.93,6.82,6.25
66,6.64,6.48,7.93
67,6.25,6.25,6.1
68,8.32,6.48,8.83
69,6.93,6.93,6.67
70,8.83,6.48,6.48
71,8.17,6.1,7.83
72,7.83,7.17,8.17
73,9.21,8.17,8.17
74,8.0,6.0,7.76
75,8.33,9.21,7.5
76,6.82,6.67,6.48
77,6.64,8.15,7.93
78,6.25,6.82,8.32
79,6.25,6.48,7.76
80,6.93,6.25,8.15
81,6.48,6.48,7.76
82,6.64,6.93,7.32
83,7.93,6.48,8.17
84,7.32,7.93,7.83
85,7.76,9.0,9.21
86,7.5,8.17,8.0
87,8.17,7.21,8.33
88,6.0,9.21,7.5
89,9.21,8.0,6.64
90,6.67,8.33,6.25
91,8.15,6.82,8.32
92,8.15,6.64,6.1
93,6.67,6.64,8.15
94,7.32,6.25,6.43
95,6.25,7.32,7.5
96,8.32,6.25,6.48
97,7.93,7.32,7.83
98,6.48,7.93,7.93
99,7.76,7.17,6.48
100,7.5,7.54,8.0
