iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3
1,5.24,6.12,5.44
2,5.95,5.61,5.95
3,6.12,5.32,6.12
4,6.12,5.88,6.12
5,5.88,5.88,5.88
6,6.24,6.12,6.12
7,5.32,5.44,5.44
8,6.24,5.61,5.61
9,5.32,5.95,5.95
10,6.24,6.12,6.12
11,5.32,6.12,6.12
12,5.36,5.88,5.25
13,6.12,6.24,6.24
14,5.95,5.32,5.32
15,5.61,6.24,6.24
16,5.95,5.32,5.32
17,6.12,6.24,6.24
18,5.61,5.32,5.32
19,5.88,5.36,5.36
20,5.36,6.12,6.12
21,6.12,6.24,5.95
22,5.32,5.32,5.61
23,6.24,6.24,5.95
24,5.32,5.32,6.12
25,6.24,6.24,5.61
26,5.32,5.32,5.88
27,5.88,5.36,5.95
28,6.12,6.12,5.32
29,5.95,5.95,6.24
30,5.61,5.44,5.32
31,5.44,5.44,6.24
32,6.12,6.12,5.32
33,6.12,6.12,5.36
34,5.88,5.88,5.25
35,6.12,5.88,6.24
36,5.44,6.24,5.32
37,5.61,5.44,6.24
38,5.95,6.24,5.32
39,6.12,5.95,6.24
40,6.12,6.12,5.32
41,5.25,6.12,5.25
42,6.24,5.88,6.24
43,5.32,6.24,5.32
44,6.24,5.44,6.24
45,5.32,6.24,5.32
46,6.24,5.95,6.24
47,5.32,6.12,5.32
48,5.36,6.12,5.88
49,6.12,5.25,6.12
50,5.95,6.24,5.32
51,5.61,5.32,6.24
52,5.95,6.24,5.32
53,5.32,5.32,6.24
54,6.24,6.24,5.32
55,5.32,5.32,5.36
56,5.88,5.36,6.12
57,5.88,6.12,5.95
58,6.12,5.95,5.61
59,5.44,5.61,5.44
60,5.61,5.95,6.12
61,5.95,6.24,6.12
62,6.12,5.32,5.88
63,6.12,5.36,6.12
64,5.88,6.12,5.44
65,6.24,5.95,5.61
66,5.32,5.61,5.95
67,6.24,5.95,6.12
68,5.32,6.12,6.12
69,6.24,5.61,5.88
70,5.32,5.25,6.24
71,5.36,6.24,5.32
72,6.12,5.32,6.24
73,5.95,6.24,5.32
74,5.61,5.32,6.24
75,5.95,6.24,5.32
76,6.12,5.32,5.36
77,5.61,5.88,6.12
78,5.25,6.12,5.95
79,6.24,5.95,5.32
80,5.32,5.61,6.24
81,6.24,5.44,5.32
82,5.32,6.12,6.24
83,6.24,6.12,5.32
84,5.32,6.12,5.36
85,5.88,5.25,5.88
86,5.88,6.24,5.88
87,6.12,5.32,6.24
88,5.44,6.24,5.14
89,5.61,5.32,6.24
90,5.95,6.24,5.32
91,6.12,5.32,6.12
92,6.12,5.36,6.12
93,5.25,5.25,5.25
94,6.24,6.24,6.24
95,5.32,5.32,5.32
96,6.24,6.24,6.24
97,5.95,5.32,5.32
98,6.12,6.24,6.24
99,6.12,5.32,5.32
100,5.25,5.36,5.88
