iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3
1,21.67,19.29,21.0
2,20.0,25.0,19.29
3,23.0,19.0,21.57
4,20.45,25.0,17.29
5,18.0,20.5,17.57
6,19.29,23.57,15.57
7,19.0,25.0,15.57
8,17.0,17.29,15.57
9,19.0,17.0,15.57
10,17.0,17.0,15.57
11,17.0,17.0,15.57
12,15.57,19.0,15.57
13,19.0,17.0,15.57
14,17.0,15.57,15.57
15,19.0,19.0,15.57
16,15.57,19.0,15.57
17,15.57,19.0,15.57
18,15.57,15.57,15.57
19,15.57,15.57,15.57
20,15.57,15.57,15.57
21,15.57,15.57,15.57
22,15.57,15.57,15.57
23,15.57,15.57,15.57
24,15.57,15.57,15.57
25,15.57,15.57,15.57
26,15.57,15.57,15.57
27,15.57,15.57,15.57
28,15.57,15.57,15.57
29,15.57,15.57,15.57
30,15.57,15.57,15.57
31,15.57,15.57,15.57
32,15.57,15.57,15.57
33,15.57,15.57,15.57
34,15.57,15.57,15.57
35,15.57,15.57,15.57
36,15.57,15.57,15.57
37,15.57,15.57,15.57
38,15.57,15.57,15.57
39,15.57,15.57,15.57
40,15.57,15.57,15.57
41,15.57,15.57,15.57
42,15.57,15.57,15.57
43,15.57,15.57,15.57
44,15.57,15.57,15.57
45,15.57,15.57,15.57
46,15.57,15.57,15.57
47,15.57,15.57,15.57
48,15.57,15.57,15.57
49,15.57,15.57,15.57
50,15.57,15.57,15.57
51,15.57,15.57,15.57
52,15.57,15.57,15.57
53,15.57,15.57,15.57
54,15.57,15.57,15.57
55,15.57,15.57,15.57
56,15.57,15.57,15.57
57,15.57,15.57,15.57
58,15.57,15.57,15.57
59,15.57,15.57,15.57
60,15.57,15.57,15.57
61,15.57,15.57,15.57
62,15.57,15.57,15.57
63,15.57,15.57,15.57
64,15.57,15.57,15.57
65,15.57,15.57,15.57
66,15.57,15.57,15.57
67,15.57,15.57,15.57
68,15.57,15.57,15.57
69,15.57,15.57,15.57
70,15.57,15.57,15.57
71,15.57,15.57,15.57
72,15.57,15.57,15.57
73,15.57,15.57,15.57
74,15.57,15.57,15.57
75,15.57,15.57,15.57
76,15.57,15.57,15.57
77,15.57,15.57,15.57
78,15.57,15.57,15.57
79,15.57,15.57,15.57
80,15.57,15.57,15.57
81,15.57,15.57,15.57
82,15.57,15.57,15.57
83,15.57,15.57,15.57
84,15.57,15.57,15.57
85,15.57,15.57,15.57
86,15.57,15.57,15.57
87,15.57,15.57,15.57
88,15.57,15.57,15.57
89,15.57,15.57,15.57
90,15.57,15.57,15.57
91,15.57,15.57,15.57
92,15.57,15.57,15.57
93,15.57,15.57,15.57
94,15.57,15.57,15.57
95,15.57,15.57,15.57
96,15.57,15.57,15.57
97,15.57,15.57,15.57
98,15.57,15.57,15.57
99,15.57,15.57,15.57
100,15.57,15.57,15.57
