iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness
1,-12.5,-14.67,-14.38
2,-12.5,-15.0,-12.5
3,-12.5,-15.0,-12.92
4,-12.5,-11.75,-12.5
5,-14.38,-11.75,-12.72
6,-11.75,-11.75,-12.72
7,-12.33,-11.75,-12.92
8,-12.02,-11.75,-12.92
9,-12.02,-11.75,-12.92
10,-11.75,-11.75,-11.75
11,-11.75,-11.75,-11.75
12,-11.75,-11.75,-11.75
13,-11.75,-11.75,-11.75
14,-11.75,-11.75,-11.75
15,-11.75,-11.75,-11.75
16,-11.75,-11.75,-11.75
17,-11.75,-11.75,-11.75
18,-11.75,-11.75,-11.75
19,-11.75,-11.75,-11.75
20,-11.75,-11.75,-11.75
21,-11.75,-11.75,-11.75
22,-11.75,-11.75,-11.75
23,-11.75,-11.75,-11.75
24,-11.75,-11.75,-11.75
25,-11.75,-11.75,-11.75
26,-11.75,-11.75,-11.75
27,-11.75,-11.75,-11.75
28,-11.75,-11.75,-11.75
29,-11.75,-11.75,-11.75
30,-11.75,-11.75,-11.75
31,-11.75,-11.75,-11.75
32,-11.75,-11.75,-11.75
33,-11.75,-11.75,-11.75
34,-11.75,-11.75,-11.75
35,-11.75,-11.75,-11.75
36,-11.75,-11.75,-11.75
37,-11.75,-11.75,-11.75
38,-11.75,-11.75,-11.75
39,-11.75,-11.75,-11.75
40,-11.75,-11.75,-11.75
41,-11.75,-11.75,-11.75
42,-11.75,-11.75,-11.75
43,-11.75,-11.75,-11.75
44,-11.75,-11.75,-11.75
45,-11.75,-11.75,-11.75
46,-11.75,-11.75,-11.75
47,-11.75,-11.75,-11.75
48,-11.75,-11.75,-11.75
49,-11.75,-11.75,-11.75
50,-11.75,-11.75,-11.75
51,-11.75,-11.75,-11.75
52,-11.75,-11.75,-11.75
53,-11.75,-11.75,-11.75
54,-11.75,-11.75,-11.75
55,-11.75,-11.75,-11.75
56,-11.75,-11.75,-11.75
57,-11.75,-11.75,-11.75
58,-11.75,-11.75,-11.75
59,-11.75,-11.75,-11.75
60,-11.75,-11.75,-11.75
61,-11.75,-11.75,-11.75
62,-11.75,-11.75,-11.75
63,-11.75,-11.75,-11.75
64,-11.75,-11.75,-11.75
65,-11.75,-11.75,-11.75
66,-11.75,-11.75,-11.75
67,-11.75,-11.75,-11.75
68,-11.75,-11.75,-11.75
69,-11.75,-11.75,-11.75
70,-11.75,-11.75,-11.75
71,-11.75,-11.75,-11.75
72,-11.75,-11.75,-11.75
73,-11.75,-11.75,-11.75
74,-11.75,-11.75,-11.75
75,-11.75,-11.75,-11.75
76,-11.75,-11.75,-11.75
77,-11.75,-11.75,-11.75
78,-11.75,-11.75,-11.75
79,-11.75,-11.75,-11.75
80,-11.75,-11.75,-11.75
81,-11.75,-11.75,-11.75
82,-11.75,-11.75,-11.75
83,-11.75,-11.75,-11.75
84,-11.75,-11.75,-11.75
85,-11.75,-11.75,-11.75
86,-11.75,-11.75,-11.75
87,-11.75,-11.75,-11.75
88,-11.75,-11.75,-11.75
89,-11.75,-11.75,-11.75
90,-11.75,-11.75,-11.75
91,-11.75,-11.75,-11.75
92,-11.75,-11.75,-11.75
93,-11.75,-11.75,-11.75
94,-11.75,-11.75,-11.75
95,-11.75,-11.75,-11.75
96,-11.75,-11.75,-11.75
97,-11.75,-11.75,-11.75
98,-11.75,-11.75,-11.75
99,-11.75,-11.75,-11.75
100,-11.75,-11.75,-11.75
