iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3
1,20.33,22.5,18.19
2,25.29,20.33,19.74
3,25.29,19.74,21.91
4,26.83,17.7,24.67
5,20.64,17.7,18.48
6,26.83,17.7,24.67
7,25.29,17.7,23.12
8,19.25,17.7,24.67
9,21.42,17.7,21.96
10,21.42,17.7,24.67
11,21.42,17.7,21.42
12,21.42,17.7,19.25
13,21.42,17.7,17.7
14,21.42,17.7,21.42
15,21.42,17.7,21.42
16,21.42,17.7,21.42
17,17.7,17.7,19.25
18,17.7,17.7,17.7
19,17.7,17.7,17.7
20,17.7,17.7,17.7
21,17.7,17.7,17.7
22,17.7,17.7,17.7
23,17.7,17.7,17.7
24,17.7,17.7,17.7
25,17.7,17.7,17.7
26,17.7,17.7,17.7
27,17.7,17.7,17.7
28,17.7,17.7,17.7
29,17.7,17.7,17.7
30,17.7,17.7,17.7
31,17.7,17.7,17.7
32,17.7,17.7,17.7
33,17.7,17.7,17.7
34,17.7,17.7,17.7
35,17.7,17.7,17.7
36,17.7,17.7,17.7
37,17.7,17.7,17.7
38,17.7,17.7,17.7
39,17.7,17.7,17.7
40,17.7,17.7,17.7
41,17.7,17.7,17.7
42,17.7,17.7,17.7
43,17.7,17.7,17.7
44,17.7,17.7,17.7
45,17.7,17.7,17.7
46,17.7,17.7,17.7
47,17.7,17.7,17.7
48,17.7,17.7,17.7
49,17.7,17.7,17.7
50,17.7,17.7,17.7
51,17.7,17.7,17.7
52,17.7,17.7,17.7
53,17.7,17.7,17.7
54,17.7,17.7,17.7
55,17.7,17.7,17.7
56,17.7,17.7,17.7
57,17.7,17.7,17.7
58,17.7,17.7,17.7
59,17.7,17.7,17.7
60,17.7,17.7,17.7
61,17.7,17.7,17.7
62,17.7,17.7,17.7
63,17.7,17.7,17.7
64,17.7,17.7,17.7
65,17.7,17.7,17.7
66,17.7,17.7,17.7
67,17.7,17.7,17.7
68,17.7,17.7,17.7
69,17.7,17.7,17.7
70,17.7,17.7,17.7
71,17.7,17.7,17.7
72,17.7,17.7,17.7
73,17.7,17.7,17.7
74,17.7,17.7,17.7
75,17.7,17.7,17.7
76,17.7,17.7,17.7
77,17.7,17.7,17.7
78,17.7,17.7,17.7
79,17.7,17.7,17.7
80,17.7,17.7,17.7
81,17.7,17.7,17.7
82,17.7,17.7,17.7
83,17.7,17.7,17.7
84,17.7,17.7,17.7
85,17.7,17.7,17.7
86,17.7,17.7,17.7
87,17.7,17.7,17.7
88,17.7,17.7,17.7
89,17.7,17.7,17.7
90,17.7,17.7,17.7
91,17.7,17.7,17.7
92,17.7,17.7,17.7
93,17.7,17.7,17.7
94,17.7,17.7,17.7
95,17.7,17.7,17.7
96,17.7,17.7,17.7
97,17.7,17.7,17.7
98,17.7,17.7,17.7
99,17.7,17.7,17.7
100,17.7,17.7,17.7
