iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness
1,-22.0,-18.83,-24.78
2,-25.75,-18.83,-23.36
3,-24.67,-22.83,-28.67
4,-28.67,-22.83,-20.5
5,-28.67,-20.5,-22.0
6,-24.0,-20.5,-22.44
7,-28.67,-22.83,-19.67
8,-19.67,-20.5,-31.0
9,-23.36,-22.83,-27.0
10,-22.83,-20.5,-31.0
11,-22.0,-22.83,-22.83
12,-24.0,-20.5,-20.5
13,-26.33,-22.83,-22.83
14,-26.33,-22.83,-22.83
15,-28.67,-22.83,-22.83
16,-20.5,-20.5,-22.83
17,-22.83,-20.5,-22.83
18,-15.83,-22.83,-22.83
19,-15.83,-22.83,-22.83
20,-15.83,-17.58,-20.5
21,-15.83,-20.5,-20.5
22,-15.83,-20.5,-22.83
23,-15.83,-20.5,-20.5
24,-15.83,-20.5,-15.83
25,-15.83,-18.83,-18.83
26,-15.83,-15.83,-15.83
27,-15.83,-15.83,-20.5
28,-15.83,-15.83,-15.83
29,-15.83,-15.83,-15.83
30,-15.83,-15.83,-15.83
31,-15.83,-15.83,-15.83
32,-15.83,-15.83,-15.83
33,-15.83,-15.83,-15.83
34,-15.83,-15.83,-15.83
35,-15.83,-15.83,-15.83
36,-15.83,-15.83,-15.83
37,-15.83,-15.83,-15.83
38,-15.83,-15.83,-15.83
39,-15.83,-15.83,-15.83
40,-15.83,-15.83,-15.83
41,-15.83,-15.83,-15.83
42,-15.83,-15.83,-15.83
43,-15.83,-15.83,-15.83
44,-15.83,-15.83,-15.83
45,-15.83,-15.83,-15.83
46,-15.83,-15.83,-15.83
47,-15.83,-15.83,-15.83
48,-15.83,-15.83,-15.83
49,-15.83,-15.83,-15.83
50,-15.83,-15.83,-15.83
51,-15.83,-15.83,-15.83
52,-15.83,-15.83,-15.83
53,-15.83,-15.83,-15.83
54,-15.83,-15.83,-15.83
55,-15.83,-15.83,-15.83
56,-15.83,-15.83,-15.83
57,-15.83,-15.83,-15.83
58,-15.83,-15.83,-15.83
59,-15.83,-15.83,-15.83
60,-15.83,-15.83,-15.83
61,-15.83,-15.83,-15.83
62,-15.83,-15.83,-15.83
63,-15.83,-15.83,-15.83
64,-15.83,-15.83,-15.83
65,-15.83,-15.83,-15.83
66,-15.83,-15.83,-15.83
67,-15.83,-15.83,-15.83
68,-15.83,-15.83,-15.83
69,-15.83,-15.83,-15.83
70,-15.83,-15.83,-15.83
71,-15.83,-15.83,-15.83
72,-15.83,-15.83,-15.83
73,-15.83,-15.83,-15.83
74,-15.83,-15.83,-15.83
75,-15.83,-15.83,-15.83
76,-15.83,-15.83,-15.83
77,-15.83,-15.83,-15.83
78,-15.83,-15.83,-15.83
79,-15.83,-15.83,-15.83
80,-15.83,-15.83,-15.83
81,-15.83,-15.83,-15.83
82,-15.83,-15.83,-15.83
83,-15.83,-15.83,-15.83
84,-15.83,-15.83,-15.83
85,-15.83,-15.83,-15.83
86,-15.83,-15.83,-15.83
87,-15.83,-15.83,-15.83
88,-15.83,-15.83,-15.83
89,-15.83,-15.83,-15.83
90,-15.83,-15.83,-15.83
91,-15.83,-15.83,-15.83
92,-15.83,-15.83,-15.83
93,-15.83,-15.83,-15.83
94,-15.83,-15.83,-15.83
95,-15.83,-15.83,-15.83
96,-15.83,-15.83,-15.83
97,-15.83,-15.83,-15.83
98,-15.83,-15.83,-15.83
99,-15.83,-15.83,-15.83
100,-15.83,-15.83,-15.83
