iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness
1,-13.86,-14.64,-14.33
2,-13.86,-14.33,-16.71
3,-13.86,-10.33,-13.0
4,-13.3,-10.33,-15.44
5,-12.05,-10.33,-14.64
6,-13.67,-10.33,-14.33
7,-19.0,-10.33,-12.05
8,-19.0,-10.33,-12.05
9,-12.05,-10.33,-10.78
10,-10.33,-10.33,-11.33
11,-10.33,-10.33,-10.33
12,-10.33,-10.33,-10.33
13,-12.05,-10.33,-13.0
14,-12.05,-10.33,-13.0
15,-12.05,-10.33,-13.0
16,-12.05,-10.33,-13.0
17,-12.05,-10.33,-14.33
18,-12.05,-10.33,-10.33
19,-12.05,-10.33,-10.33
20,-12.05,-10.33,-10.33
21,-12.05,-10.33,-10.33
22,-12.05,-10.33,-10.33
23,-12.05,-10.33,-10.33
24,-12.05,-10.33,-10.33
25,-12.05,-10.33,-10.33
26,-12.05,-10.33,-10.33
27,-10.33,-10.33,-10.33
28,-10.33,-10.33,-10.33
29,-10.33,-10.33,-10.33
30,-10.33,-10.33,-10.33
31,-10.33,-10.33,-10.33
32,-10.33,-10.33,-10.33
33,-10.33,-10.33,-10.33
34,-10.33,-10.33,-10.33
35,-10.33,-10.33,-10.33
36,-10.33,-10.33,-10.33
37,-10.33,-10.33,-10.33
38,-10.33,-10.33,-10.33
39,-10.33,-10.33,-10.33
40,-10.33,-10.33,-10.33
41,-10.33,-10.33,-10.33
42,-10.33,-10.33,-10.33
43,-10.33,-10.33,-10.33
44,-10.33,-10.33,-10.33
45,-10.33,-10.33,-10.33
46,-10.33,-10.33,-10.33
47,-10.33,-10.33,-10.33
48,-10.33,-10.33,-10.33
49,-10.33,-10.33,-10.33
50,-10.33,-10.33,-10.33
51,-10.33,-10.33,-10.33
52,-10.33,-10.33,-10.33
53,-10.33,-10.33,-10.33
54,-10.33,-10.33,-10.33
55,-10.33,-10.33,-10.33
56,-10.33,-10.33,-10.33
57,-10.33,-10.33,-10.33
58,-10.33,-10.33,-10.33
59,-10.33,-10.33,-10.33
60,-10.33,-10.33,-10.33
61,-10.33,-10.33,-10.33
62,-10.33,-10.33,-10.33
63,-10.33,-10.33,-10.33
64,-10.33,-10.33,-10.33
65,-10.33,-10.33,-10.33
66,-10.33,-10.33,-10.33
67,-10.33,-10.33,-10.33
68,-10.33,-10.33,-10.33
69,-10.33,-10.33,-10.33
70,-10.33,-10.33,-10.33
71,-10.33,-10.33,-10.33
72,-10.33,-10.33,-10.33
73,-10.33,-10.33,-10.33
74,-10.33,-10.33,-10.33
75,-10.33,-10.33,-10.33
76,-10.33,-10.33,-10.33
77,-10.33,-10.33,-10.33
78,-10.33,-10.33,-10.33
79,-10.33,-10.33,-10.33
80,-10.33,-10.33,-10.33
81,-10.33,-10.33,-10.33
82,-10.33,-10.33,-10.33
83,-10.33,-10.33,-10.33
84,-10.33,-10.33,-10.33
85,-10.33,-10.33,-10.33
86,-10.33,-10.33,-10.33
87,-10.33,-10.33,-10.33
88,-10.33,-10.33,-10.33
89,-10.33,-10.33,-10.33
90,-10.33,-10.33,-10.33
91,-10.33,-10.33,-10.33
92,-10.33,-10.33,-10.33
93,-10.33,-10.33,-10.33
94,-10.33,-10.33,-10.33
95,-10.33,-10.33,-10.33
96,-10.33,-10.33,-10.33
97,-10.33,-10.33,-10.33
98,-10.33,-10.33,-10.33
99,-10.33,-10.33,-10.33
100,-10.33,-10.33,-10.33
