iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness
1,-2.69,-2.69,-2.68
2,-2.34,-2.69,-2.79
3,-2.79,-2.69,-2.69
4,-2.79,-2.69,-2.69
5,-2.79,-2.69,-2.69
6,-2.79,-2.69,-2.69
7,-2.79,-2.69,-2.79
8,-2.79,-2.69,-2.79
9,-2.79,-2.69,-2.79
10,-2.79,-2.69,-2.79
11,-2.79,-2.69,-2.79
12,-2.79,-2.69,-2.79
13,-2.79,-2.79,-2.79
14,-2.79,-2.79,-2.79
15,-2.79,-2.79,-2.79
16,-2.79,-2.79,-2.79
17,-2.79,-2.79,-2.79
18,-2.79,-2.79,-2.79
19,-2.79,-2.79,-2.79
20,-2.79,-2.79,-2.79
21,-2.79,-2.79,-2.79
22,-2.79,-2.79,-2.79
23,-2.79,-2.79,-2.79
24,-2.79,-2.79,-2.79
25,-2.79,-2.79,-2.79
26,-2.79,-2.79,-2.79
27,-2.79,-2.79,-2.79
28,-2.79,-2.79,-2.79
29,-2.79,-2.79,-2.79
30,-2.79,-2.79,-2.79
31,-2.79,-2.79,-2.79
32,-2.79,-2.79,-2.79
33,-2.79,-2.79,-2.79
34,-2.79,-2.79,-2.79
35,-2.79,-2.79,-2.79
36,-2.79,-2.79,-2.79
37,-2.79,-2.79,-2.79
38,-2.79,-2.79,-2.79
39,-2.79,-2.79,-2.79
40,-2.79,-2.79,-2.79
41,-2.79,-2.79,-2.79
42,-2.79,-2.79,-2.79
43,-2.79,-2.79,-2.79
44,-2.79,-2.79,-2.79
45,-2.79,-2.79,-2.79
46,-2.79,-2.79,-2.79
47,-2.79,-2.79,-2.79
48,-2.79,-2.79,-2.79
49,-2.79,-2.79,-2.79
50,-2.79,-2.79,-2.79
51,-2.79,-2.79,-2.79
52,-2.79,-2.79,-2.79
53,-2.79,-2.79,-2.79
54,-2.79,-2.79,-2.79
55,-2.79,-2.79,-2.79
56,-2.79,-2.79,-2.79
57,-2.79,-2.79,-2.79
58,-2.79,-2.79,-2.79
59,-2.79,-2.79,-2.79
60,-2.79,-2.79,-2.79
61,-2.79,-2.79,-2.79
62,-2.79,-2.79,-2.79
63,-2.79,-2.79,-2.79
64,-2.79,-2.79,-2.79
65,-2.79,-2.79,-2.79
66,-2.79,-2.79,-2.79
67,-2.79,-2.79,-2.79
68,-2.79,-2.79,-2.79
69,-2.79,-2.79,-2.79
70,-2.79,-2.79,-2.79
71,-2.79,-2.79,-2.79
72,-2.79,-2.79,-2.79
73,-2.79,-2.79,-2.79
74,-2.79,-2.79,-2.79
75,-2.79,-2.79,-2.79
76,-2.79,-2.79,-2.79
77,-2.79,-2.79,-2.79
78,-2.79,-2.79,-2.79
79,-2.79,-2.79,-2.79
80,-2.79,-2.79,-2.79
81,-2.79,-2.79,-2.79
82,-2.79,-2.79,-2.79
83,-2.79,-2.79,-2.79
84,-2.79,-2.79,-2.79
85,-2.79,-2.79,-2.79
86,-2.79,-2.79,-2.79
87,-2.79,-2.79,-2.79
88,-2.79,-2.79,-2.79
89,-2.79,-2.79,-2.79
90,-2.79,-2.79,-2.79
91,-2.79,-2.79,-2.79
92,-2.79,-2.79,-2.79
93,-2.79,-2.79,-2.79
94,-2.79,-2.79,-2.79
95,-2.79,-2.79,-2.79
96,-2.79,-2.79,-2.79
97,-2.79,-2.79,-2.79
98,-2.79,-2.79,-2.79
99,-2.79,-2.79,-2.79
100,-2.79,-2.79,-2.79
