iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3
1,12.0,10.25,12.15
2,14.33,9.76,11.19
3,12.82,9.76,8.62
4,10.48,9.76,8.62
5,9.76,9.76,8.62
6,10.56,9.76,8.62
7,10.0,9.76,8.62
8,9.01,9.76,8.62
9,11.19,9.76,8.62
10,8.73,8.62,8.62
11,10.05,8.62,8.62
12,8.62,8.62,8.62
13,8.62,8.62,8.62
14,8.62,8.62,8.62
15,8.62,8.62,8.62
16,8.62,8.62,8.62
17,8.62,8.62,8.62
18,8.62,8.62,8.62
19,8.62,8.62,8.62
20,8.62,8.62,8.62
21,8.62,8.62,8.62
22,8.62,8.62,8.62
23,8.62,8.62,8.62
24,8.62,8.62,8.62
25,8.62,8.62,8.62
26,8.62,8.62,8.62
27,8.62,8.62,8.62
28,8.62,8.62,8.62
29,8.62,8.62,8.62
30,8.62,8.62,8.62
31,8.62,8.62,8.62
32,8.62,8.62,8.62
33,8.62,8.62,8.62
34,8.62,8.62,8.62
35,8.62,8.62,8.62
36,8.62,8.62,8.62
37,8.62,8.62,8.62
38,8.62,8.62,8.62
39,8.62,8.62,8.62
40,8.62,8.62,8.62
41,8.62,8.62,8.62
42,8.62,8.62,8.62
43,8.62,8.62,8.62
44,8.62,8.62,8.62
45,8.62,8.62,8.62
46,8.62,8.62,8.62
47,8.62,8.62,8.62
48,8.62,8.62,8.62
49,8.62,8.62,8.62
50,8.62,8.62,8.62
51,8.62,8.62,8.62
52,8.62,8.62,8.62
53,8.62,8.62,8.62
54,8.62,8.62,8.62
55,8.62,8.62,8.62
56,8.62,8.62,8.62
57,8.62,8.62,8.62
58,8.62,8.62,8.62
59,8.62,8.62,8.62
60,8.62,8.62,8.62
61,8.62,8.62,8.62
62,8.62,8.62,8.62
63,8.62,8.62,8.62
64,8.62,8.62,8.62
65,8.62,8.62,8.62
66,8.62,8.62,8.62
67,8.62,8.62,8.62
68,8.62,8.62,8.62
69,8.62,8.62,8.62
70,8.62,8.62,8.62
71,8.62,8.62,8.62
72,8.62,8.62,8.62
73,8.62,8.62,8.62
74,8.62,8.62,8.62
75,8.62,8.62,8.62
76,8.62,8.62,8.62
77,8.62,8.62,8.62
78,8.62,8.62,8.62
79,8.62,8.62,8.62
80,8.62,8.62,8.62
81,8.62,8.62,8.62
82,8.62,8.62,8.62
83,8.62,8.62,8.62
84,8.62,8.62,8.62
85,8.62,8.62,8.62
86,8.62,8.62,8.62
87,8.62,8.62,8.62
88,8.62,8.62,8.62
89,8.62,8.62,8.62
90,8.62,8.62,8.62
91,8.62,8.62,8.62
92,8.62,8.62,8.62
93,8.62,8.62,8.62
94,8.62,8.62,8.62
95,8.62,8.62,8.62
96,8.62,8.62,8.62
97,8.62,8.62,8.62
98,8.62,8.62,8.62
99,8.62,8.62,8.62
100,8.62,8.62,8.62
