iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3,tpd_particle_4,tpd_particle_5
1,42.05,129.15,142.41,123.8,225.53
2,146.53,133.98,116.83,149.02,138.57
3,262.27,205.58,118.74,130.13,139.15
4,262.27,237.39,152.63,150.67,228.34
5,103.75,123.56,114.32,213.74,136.62
6,69.24,158.36,126.56,128.77,133.15
7,69.24,132.74,147.17,117.82,201.75
8,69.24,134.03,74.06,209.7,205.4
9,69.24,127.82,74.06,207.5,142.83
10,69.24,129.32,72.95,137.29,218.13
11,69.24,122.86,69.24,125.77,132.27
12,69.24,227.76,69.24,123.24,239.97
13,69.24,69.24,69.24,127.06,158.01
14,69.24,69.24,69.24,125.18,203.17
15,69.24,69.24,69.24,123.33,228.64
16,69.24,69.24,69.24,143.93,228.61
17,69.24,69.24,69.24,134.44,134.84
18,69.24,69.24,69.24,136.8,208.88
19,69.24,69.24,69.24,126.32,130.95
20,69.24,69.24,69.24,129.28,239.75
21,69.24,69.24,69.24,222.17,228.61
22,69.24,69.24,69.24,128.0,129.06
23,69.24,69.24,69.24,159.35,128.37
24,69.24,69.24,69.24,126.29,205.38
25,69.24,69.24,69.24,204.22,219.72
26,69.24,69.24,69.24,125.77,223.71
27,69.24,69.24,69.24,128.43,204.58
28,69.24,69.24,69.24,152.73,225.02
29,69.24,69.24,69.24,202.69,204.44
30,69.24,69.24,69.24,146.98,154.3
31,69.24,69.24,69.24,133.03,209.19
32,69.24,69.24,69.24,129.03,205.38
33,69.24,69.24,69.24,130.13,135.94
34,69.24,69.24,69.24,162.51,207.95
35,69.24,69.24,69.24,122.02,207.47
36,69.24,69.24,69.24,135.39,124.44
37,69.24,69.24,69.24,127.87,126.23
38,69.24,69.24,69.24,125.63,122.81
39,69.24,69.24,69.24,130.93,130.79
40,69.24,69.24,69.24,127.26,227.76
41,69.24,69.24,69.24,225.52,147.17
42,69.24,69.24,69.24,154.73,69.24
43,69.24,69.24,69.24,115.85,69.24
44,69.24,69.24,69.24,112.6,69.24
45,69.24,69.24,69.24,126.63,69.24
46,69.24,69.24,69.24,205.35,69.24
47,69.24,69.24,69.24,141.87,69.24
48,69.24,69.24,69.24,131.32,69.24
49,69.24,69.24,69.24,142.8,69.24
50,69.24,69.24,69.24,139.45,69.24
51,69.24,69.24,69.24,124.47,69.24
52,69.24,69.24,69.24,148.12,69.24
53,69.24,69.24,69.24,223.98,69.24
54,69.24,69.24,69.24,147.93,69.24
55,69.24,69.24,69.24,123.45,69.24
56,69.24,69.24,69.24,130.13,69.24
57,69.24,69.24,69.24,127.24,69.24
58,69.24,69.24,69.24,222.17,69.24
59,69.24,69.24,69.24,123.38,69.24
60,69.24,69.24,69.24,123.6,69.24
61,69.24,69.24,69.24,123.6,69.24
62,69.24,69.24,69.24,128.1,69.24
63,69.24,69.24,69.24,172.31,69.24
64,69.24,69.24,69.24,205.1,69.24
65,69.24,69.24,69.24,131.81,69.24
66,69.24,69.24,69.24,124.45,69.24
67,69.24,69.24,69.24,131.94,69.24
68,69.24,69.24,69.24,225.89,69.24
69,69.24,69.24,69.24,126.81,69.24
70,69.24,69.24,69.24,164.54,69.24
71,69.24,69.24,69.24,131.27,69.24
72,69.24,69.24,69.24,134.2,69.24
73,69.24,69.24,69.24,153.92,69.24
74,69.24,69.24,69.24,112.63,69.24
75,69.24,69.24,69.24,222.17,69.24
76,69.24,69.24,69.24,121.56,69.24
77,69.24,69.24,69.24,141.51,69.24
78,69.24,69.24,69.24,138.49,69.24
79,69.24,69.24,69.24,205.43,69.24
80,69.24,69.24,69.24,138.64,69.24
81,69.24,69.24,69.24,135.49,69.24
82,69.24,69.24,69.24,123.33,69.24
83,69.24,69.24,69.24,204.58,69.24
84,69.24,69.24,69.24,124.62,69.24
85,69.24,69.24,69.24,215.42,69.24
86,69.24,69.24,69.24,243.42,69.24
87,69.24,69.24,69.24,115.65,69.24
88,69.24,69.24,69.24,135.42,69.24
89,69.24,69.24,69.24,158.7,69.24
90,69.24,69.24,69.24,137.45,69.24
91,69.24,69.24,69.24,111.73,69.24
92,69.24,69.24,69.24,131.98,69.24
93,69.24,69.24,69.24,117.38,69.24
94,69.24,69.24,69.24,219.97,69.24
95,69.24,69.24,69.24,208.22,69.24
96,69.24,69.24,69.24,131.01,69.24
97,69.24,69.24,69.24,212.56,69.24
98,69.24,69.24,69.24,131.58,69.24
99,69.24,69.24,69.24,131.43,69.24
100,69.24,69.24,69.24,219.64,69.24
101,69.24,69.24,69.24,152.61,69.24
102,69.24,69.24,69.24,147.92,69.24
103,69.24,69.24,69.24,134.39,69.24
104,69.24,69.24,69.24,127.47,69.24
105,69.24,69.24,69.24,144.19,69.24
106,69.24,69.24,69.24,128.82,69.24
107,69.24,69.24,69.24,209.11,69.24
108,69.24,69.24,69.24,131.03,69.24
109,69.24,69.24,69.24,124.84,69.24
110,69.24,69.24,69.24,129.4,69.24
111,69.24,69.24,69.24,111.93,69.24
112,69.24,69.24,69.24,125.77,69.24
113,69.24,69.24,69.24,125.27,69.24
114,69.24,69.24,69.24,128.48,69.24
115,69.24,69.24,69.24,135.34,69.24
116,69.24,69.24,69.24,210.38,69.24
117,69.24,69.24,69.24,230.59,69.24
118,69.24,69.24,69.24,148.17,69.24
119,69.24,69.24,69.24,136.27,69.24
120,69.24,69.24,69.24,163.05,69.24
121,69.24,69.24,69.24,139.1,69.24
122,69.24,69.24,69.24,152.07,69.24
123,69.24,69.24,69.24,166.43,69.24
124,69.24,69.24,69.24,126.52,69.24
125,69.24,69.24,69.24,127.89,69.24
126,69.24,69.24,69.24,151.84,69.24
127,69.24,69.24,69.24,113.65,69.24
128,69.24,69.24,69.24,136.63,69.24
129,69.24,69.24,69.24,130.83,69.24
130,69.24,69.24,69.24,131.01,69.24
131,69.24,69.24,69.24,134.53,69.24
132,69.24,69.24,69.24,204.56,69.24
133,69.24,69.24,69.24,124.36,69.24
134,69.24,69.24,69.24,210.67,69.24
135,69.24,69.24,69.24,206.76,69.24
136,69.24,69.24,69.24,141.19,69.24
137,69.24,69.24,69.24,135.83,69.24
138,69.24,69.24,69.24,137.06,69.24
139,69.24,69.24,69.24,206.59,69.24
140,69.24,69.24,69.24,125.0,69.24
141,69.24,69.24,69.24,127.13,69.24
142,69.24,69.24,69.24,218.4,69.24
143,69.24,69.24,69.24,129.79,69.24
144,69.24,69.24,69.24,135.56,69.24
145,69.24,69.24,69.24,210.41,69.24
146,69.24,69.24,69.24,204.19,69.24
147,69.24,69.24,69.24,136.93,69.24
148,69.24,69.24,69.24,135.39,69.24
149,69.24,69.24,69.24,124.11,69.24
150,69.24,69.24,69.24,136.87,69.24
151,69.24,69.24,69.24,134.22,69.24
152,69.24,69.24,69.24,109.27,69.24
153,69.24,69.24,69.24,212.54,69.24
154,69.24,69.24,69.24,214.11,69.24
155,69.24,69.24,69.24,204.55,69.24
156,69.24,69.24,69.24,123.56,69.24
157,69.24,69.24,69.24,210.58,69.24
158,69.24,69.24,69.24,143.99,69.24
159,69.24,69.24,69.24,131.11,69.24
160,69.24,69.24,69.24,122.63,69.24
161,69.24,69.24,69.24,115.03,69.24
162,69.24,69.24,69.24,148.36,69.24
163,69.24,69.24,69.24,136.54,69.24
164,69.24,69.24,69.24,210.41,69.24
165,69.24,69.24,69.24,142.62,69.24
166,69.24,69.24,69.24,217.26,69.24
167,69.24,69.24,69.24,151.6,69.24
168,69.24,69.24,69.24,211.6,69.24
169,69.24,69.24,69.24,142.68,69.24
170,69.24,69.24,69.24,149.6,69.24
171,69.24,69.24,69.24,128.0,69.24
172,69.24,69.24,69.24,127.24,69.24
173,69.24,69.24,69.24,215.38,69.24
174,69.24,69.24,69.24,131.47,69.24
175,69.24,69.24,69.24,227.24,69.24
176,69.24,69.24,69.24,127.78,69.24
177,69.24,69.24,69.24,138.0,69.24
178,69.24,69.24,69.24,151.8,69.24
179,69.24,69.24,69.24,137.12,69.24
180,69.24,69.24,69.24,123.56,69.24
181,69.24,69.24,69.24,151.6,69.24
182,69.24,69.24,69.24,137.85,69.24
183,69.24,69.24,69.24,133.9,69.24
184,69.24,69.24,69.24,205.43,69.24
185,69.24,69.24,69.24,152.38,69.24
186,69.24,69.24,69.24,227.63,69.24
187,69.24,69.24,69.24,123.58,69.24
188,69.24,69.24,69.24,127.24,69.24
189,69.24,69.24,69.24,127.46,69.24
190,69.24,69.24,69.24,124.67,69.24
191,69.24,69.24,69.24,130.33,69.24
192,69.24,69.24,69.24,204.22,69.24
193,69.24,69.24,69.24,123.24,69.24
194,69.24,69.24,69.24,131.32,69.24
195,69.24,69.24,69.24,206.62,69.24
196,69.24,69.24,69.24,124.62,69.24
197,69.24,69.24,69.24,124.62,69.24
198,69.24,69.24,69.24,222.48,69.24
199,69.24,69.24,69.24,141.84,69.24
200,69.24,69.24,69.24,227.63,69.24
