iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3,tpd_particle_4,tpd_particle_5,tpd_particle_6,tpd_particle_7,tpd_particle_8,tpd_particle_9,tpd_particle_10
1,45.85,40.3,45.08,43.38,55.59,47.83,39.9,42.73,55.06,50.68
2,48.96,56.6,37.92,45.74,38.71,39.97,49.63,42.06,37.54,53.91
3,51.84,50.95,58.09,47.09,47.55,40.12,44.03,48.09,54.01,42.14
4,42.47,44.95,39.92,56.88,42.83,49.88,41.19,44.93,42.23,56.62
5,38.87,45.65,46.94,51.87,54.03,40.32,53.08,42.01,49.46,44.47
6,47.51,49.09,45.93,49.61,51.67,41.5,55.65,42.68,46.75,44.49
7,39.76,46.34,45.13,47.91,55.58,40.37,55.9,42.78,37.54,49.81
8,36.12,38.04,47.72,44.82,52.43,43.03,48.31,48.31,40.25,49.73
9,36.58,43.58,40.59,40.97,53.7,40.57,53.11,45.7,41.43,44.05
10,35.29,43.39,42.91,45.56,55.05,42.29,52.07,45.55,41.43,47.31
11,35.29,43.79,39.16,43.71,52.37,42.29,45.39,49.36,41.6,45.56
12,35.29,41.59,41.16,41.6,51.33,42.92,45.13,42.04,36.1,37.04
13,35.29,41.22,43.91,41.6,47.51,44.74,44.45,42.45,35.29,43.53
14,35.29,37.12,42.85,41.6,53.54,48.26,52.44,49.98,35.29,40.14
15,35.29,35.66,38.46,36.1,42.81,59.04,48.48,45.61,35.29,38.64
16,35.29,35.66,45.47,34.65,38.2,44.99,50.53,45.36,34.65,36.69
17,34.65,34.65,41.24,34.65,38.72,40.66,47.26,41.44,34.65,36.69
18,34.65,34.65,46.22,34.65,49.46,42.44,59.11,47.69,34.65,36.69
19,34.65,34.65,45.2,34.65,47.52,43.78,51.13,42.49,34.65,36.69
20,34.65,34.65,45.11,34.65,38.31,45.39,52.53,41.82,34.65,36.69
21,34.65,34.65,46.91,34.65,38.39,39.99,54.26,48.33,34.65,34.65
22,34.65,34.65,40.19,34.65,40.33,48.26,55.65,54.17,34.65,34.65
23,34.65,34.65,39.05,34.65,36.94,49.66,52.07,49.8,34.65,34.65
24,34.65,34.65,40.48,34.65,35.66,45.44,52.07,42.73,34.65,34.65
25,34.65,34.65,47.51,34.65,35.66,44.81,52.07,45.29,34.65,34.65
26,34.65,34.65,44.64,34.65,35.66,45.74,52.07,41.25,34.65,34.65
27,34.65,34.65,42.94,34.65,34.65,46.22,48.18,48.44,34.65,34.65
28,34.65,34.65,43.64,34.65,34.65,46.45,45.13,45.12,34.65,34.65
29,34.65,34.65,35.85,34.65,34.65,44.96,43.4,49.47,34.65,34.65
30,34.65,34.65,40.89,34.65,34.65,42.47,49.19,57.9,34.65,34.65
31,34.65,34.65,40.46,34.65,34.65,41.2,55.06,53.37,34.65,34.65
32,34.65,34.65,41.86,34.65,34.65,45.74,45.78,50.13,34.65,34.65
33,34.65,34.65,46.21,34.65,34.65,43.67,46.1,42.11,34.65,34.65
34,34.65,34.65,41.04,34.65,34.65,39.56,48.28,41.09,34.65,34.65
35,34.65,34.65,34.65,34.65,34.65,39.56,42.0,43.17,34.65,34.65
36,34.65,34.65,34.65,34.65,34.65,41.51,48.28,42.73,34.65,34.65
37,34.65,34.65,34.65,34.65,34.65,40.14,42.28,42.36,34.65,34.65
38,34.65,34.65,34.65,34.65,34.65,35.48,40.06,47.51,34.65,34.65
39,34.65,34.65,34.65,34.65,34.65,35.29,54.26,46.6,34.65,34.65
40,34.65,34.65,34.65,34.65,34.65,40.14,49.23,45.12,34.65,34.65
41,34.65,34.65,34.65,34.65,34.65,40.14,46.86,43.12,34.65,34.65
42,34.65,34.65,34.65,34.65,34.65,40.14,55.9,50.49,34.65,34.65
43,34.65,34.65,34.65,34.65,34.65,36.69,46.74,43.83,34.65,34.65
44,34.65,34.65,34.65,34.65,34.65,36.69,42.0,53.17,34.65,34.65
45,34.65,34.65,34.65,34.65,34.65,34.65,41.25,51.66,34.65,34.65
46,34.65,34.65,34.65,34.65,34.65,34.65,47.83,38.41,34.65,34.65
47,34.65,34.65,34.65,34.65,34.65,34.65,46.91,55.06,34.65,34.65
48,34.65,34.65,34.65,34.65,34.65,34.65,51.3,43.53,34.65,34.65
49,34.65,34.65,34.65,34.65,34.65,34.65,55.77,46.26,34.65,34.65
50,34.65,34.65,34.65,34.65,34.65,34.65,41.22,39.07,34.65,34.65
51,34.65,34.65,34.65,34.65,34.65,34.65,39.48,49.57,34.65,34.65
52,34.65,34.65,34.65,34.65,34.65,34.65,42.53,49.64,34.65,34.65
53,34.65,34.65,34.65,34.65,34.65,34.65,43.53,49.64,34.65,34.65
54,34.65,34.65,34.65,34.65,34.65,34.65,40.14,40.36,34.65,34.65
55,34.65,34.65,34.65,34.65,34.65,34.65,40.14,47.52,34.65,34.65
56,34.65,34.65,34.65,34.65,34.65,34.65,37.27,47.52,34.65,34.65
57,34.65,34.65,34.65,34.65,34.65,34.65,37.27,49.57,34.65,34.65
58,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
59,34.65,34.65,34.65,34.65,34.65,34.65,34.65,41.09,34.65,34.65
60,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
61,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
62,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
63,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
64,34.65,34.65,34.65,34.65,34.65,34.65,34.65,40.36,34.65,34.65
65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,41.09,34.65,34.65
66,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
67,34.65,34.65,34.65,34.65,34.65,34.65,34.65,40.19,34.65,34.65
68,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
69,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
70,34.65,34.65,34.65,34.65,34.65,34.65,34.65,40.77,34.65,34.65
71,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
72,34.65,34.65,34.65,34.65,34.65,34.65,34.65,41.19,34.65,34.65
73,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.64,34.65,34.65
74,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.64,34.65,34.65
75,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.64,34.65,34.65
76,34.65,34.65,34.65,34.65,34.65,34.65,34.65,47.52,34.65,34.65
77,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
78,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
79,34.65,34.65,34.65,34.65,34.65,34.65,34.65,41.12,34.65,34.65
80,34.65,34.65,34.65,34.65,34.65,34.65,34.65,47.52,34.65,34.65
81,34.65,34.65,34.65,34.65,34.65,34.65,34.65,41.12,34.65,34.65
82,34.65,34.65,34.65,34.65,34.65,34.65,34.65,41.19,34.65,34.65
83,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.64,34.65,34.65
84,34.65,34.65,34.65,34.65,34.65,34.65,34.65,47.52,34.65,34.65
85,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
86,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.64,34.65,34.65
87,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.64,34.65,34.65
88,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.64,34.65,34.65
89,34.65,34.65,34.65,34.65,34.65,34.65,34.65,40.43,34.65,34.65
90,34.65,34.65,34.65,34.65,34.65,34.65,34.65,41.19,34.65,34.65
91,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
92,34.65,34.65,34.65,34.65,34.65,34.65,34.65,47.52,34.65,34.65
93,34.65,34.65,34.65,34.65,34.65,34.65,34.65,47.52,34.65,34.65
94,34.65,34.65,34.65,34.65,34.65,34.65,34.65,47.52,34.65,34.65
95,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
96,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
97,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.64,34.65,34.65
98,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.64,34.65,34.65
99,34.65,34.65,34.65,34.65,34.65,34.65,34.65,39.57,34.65,34.65
100,34.65,34.65,34.65,34.65,34.65,34.65,34.65,38.45,34.65,34.65
101,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.19,34.65,34.65
102,34.65,34.65,34.65,34.65,34.65,34.65,34.65,41.12,34.65,34.65
103,34.65,34.65,34.65,34.65,34.65,34.65,34.65,40.77,34.65,34.65
104,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
105,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.64,34.65,34.65
106,34.65,34.65,34.65,34.65,34.65,34.65,34.65,51.6,34.65,34.65
107,34.65,34.65,34.65,34.65,34.65,34.65,34.65,51.6,34.65,34.65
108,34.65,34.65,34.65,34.65,34.65,34.65,34.65,48.02,34.65,34.65
109,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
110,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
111,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
112,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.64,34.65,34.65
113,34.65,34.65,34.65,34.65,34.65,34.65,34.65,46.9,34.65,34.65
114,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.64,34.65,34.65
115,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.64,34.65,34.65
116,34.65,34.65,34.65,34.65,34.65,34.65,34.65,48.02,34.65,34.65
117,34.65,34.65,34.65,34.65,34.65,34.65,34.65,47.52,34.65,34.65
118,34.65,34.65,34.65,34.65,34.65,34.65,34.65,48.02,34.65,34.65
119,34.65,34.65,34.65,34.65,34.65,34.65,34.65,40.36,34.65,34.65
120,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
121,34.65,34.65,34.65,34.65,34.65,34.65,34.65,40.77,34.65,34.65
122,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
123,34.65,34.65,34.65,34.65,34.65,34.65,34.65,40.19,34.65,34.65
124,34.65,34.65,34.65,34.65,34.65,34.65,34.65,41.12,34.65,34.65
125,34.65,34.65,34.65,34.65,34.65,34.65,34.65,38.81,34.65,34.65
126,34.65,34.65,34.65,34.65,34.65,34.65,34.65,41.09,34.65,34.65
127,34.65,34.65,34.65,34.65,34.65,34.65,34.65,41.19,34.65,34.65
128,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.64,34.65,34.65
129,34.65,34.65,34.65,34.65,34.65,34.65,34.65,40.84,34.65,34.65
130,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.64,34.65,34.65
131,34.65,34.65,34.65,34.65,34.65,34.65,34.65,47.52,34.65,34.65
132,34.65,34.65,34.65,34.65,34.65,34.65,34.65,39.55,34.65,34.65
133,34.65,34.65,34.65,34.65,34.65,34.65,34.65,39.07,34.65,34.65
134,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
135,34.65,34.65,34.65,34.65,34.65,34.65,34.65,47.52,34.65,34.65
136,34.65,34.65,34.65,34.65,34.65,34.65,34.65,40.77,34.65,34.65
137,34.65,34.65,34.65,34.65,34.65,34.65,34.65,39.07,34.65,34.65
138,34.65,34.65,34.65,34.65,34.65,34.65,34.65,40.74,34.65,34.65
139,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
140,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
141,34.65,34.65,34.65,34.65,34.65,34.65,34.65,41.19,34.65,34.65
142,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
143,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
144,34.65,34.65,34.65,34.65,34.65,34.65,34.65,49.57,34.65,34.65
145,34.65,34.65,34.65,34.65,34.65,34.65,34.65,41.12,34.65,34.65
146,34.65,34.65,34.65,34.65,34.65,34.65,34.65,38.72,34.65,34.65
147,34.65,34.65,34.65,34.65,34.65,34.65,34.65,48.02,34.65,34.65
148,34.65,34.65,34.65,34.65,34.65,34.65,34.65,37.62,34.65,34.65
149,34.65,34.65,34.65,34.65,34.65,34.65,34.65,46.07,34.65,34.65
150,34.65,34.65,34.65,34.65,34.65,34.65,34.65,37.27,34.65,34.65
151,34.65,34.65,34.65,34.65,34.65,34.65,34.65,36.69,34.65,34.65
152,34.65,34.65,34.65,34.65,34.65,34.65,34.65,36.69,34.65,34.65
153,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
154,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
155,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
156,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
157,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
158,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
159,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
160,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
161,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
162,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
163,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
164,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
165,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
166,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
167,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
168,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
169,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
170,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
171,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
172,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
173,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
174,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
175,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
176,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
177,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
178,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
179,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
180,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
181,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
182,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
183,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
184,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
185,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
186,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
187,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
188,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
189,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
190,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
191,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
192,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
193,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
194,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
195,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
