iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness,particle_4_fitness,particle_5_fitness,particle_6_fitness,particle_7_fitness,particle_8_fitness,particle_9_fitness,particle_10_fitness
1,-46.47,-44.47,-47.75,-44.63,-47.17,-40.86,-49.61,-38.82,-41.57,-47.59
2,-42.48,-40.04,-44.7,-43.24,-46.95,-42.24,-39.43,-42.64,-46.84,-40.84
3,-46.73,-48.92,-36.74,-43.22,-41.79,-38.99,-48.25,-42.37,-36.64,-45.55
4,-45.9,-43.39,-52.39,-38.74,-43.51,-40.17,-44.44,-45.3,-50.68,-42.4
5,-39.67,-43.31,-38.26,-47.94,-39.7,-48.02,-40.39,-44.75,-39.62,-41.59
6,-38.45,-45.78,-45.97,-43.81,-51.26,-39.98,-46.35,-41.97,-43.77,-40.36
7,-46.52,-47.54,-43.53,-41.97,-38.91,-41.64,-50.49,-40.33,-40.69,-48.19
8,-39.22,-46.35,-45.44,-45.78,-44.24,-39.82,-50.66,-42.3,-36.64,-39.17
9,-35.65,-37.31,-47.28,-35.72,-43.98,-43.74,-42.92,-42.92,-39.72,-41.61
10,-36.24,-43.56,-39.46,-37.45,-38.74,-40.84,-47.31,-43.91,-39.33,-38.02
11,-34.46,-42.1,-41.47,-36.1,-39.77,-40.88,-47.26,-42.16,-39.33,-35.66
12,-34.46,-44.25,-38.16,-38.74,-41.71,-40.88,-44.18,-47.8,-39.53,-35.77
13,-34.46,-42.25,-41.24,-41.71,-39.7,-42.94,-45.41,-39.03,-35.88,-36.34
14,-34.46,-41.94,-41.15,-41.71,-37.53,-44.48,-43.0,-40.86,-34.46,-36.34
15,-34.46,-36.75,-42.85,-41.78,-37.53,-47.19,-46.6,-44.47,-34.46,-34.46
16,-34.46,-34.77,-37.17,-38.2,-35.54,-52.43,-46.99,-43.79,-34.46,-34.46
17,-34.46,-34.77,-44.34,-39.53,-35.54,-45.13,-44.7,-49.59,-34.46,-34.46
18,-34.46,-34.46,-40.02,-39.53,-35.54,-40.22,-41.37,-39.67,-34.46,-34.46
19,-34.46,-34.46,-43.62,-41.71,-35.54,-42.5,-52.5,-45.42,-34.46,-34.46
20,-34.46,-34.46,-42.08,-41.78,-35.54,-44.4,-45.83,-42.02,-34.46,-34.46
21,-34.46,-34.46,-43.98,-41.71,-34.46,-45.57,-46.91,-39.98,-34.46,-34.46
22,-34.46,-34.46,-40.72,-41.78,-34.46,-40.65,-49.41,-46.58,-34.46,-34.46
23,-34.46,-34.46,-42.1,-41.78,-34.46,-47.19,-50.49,-48.5,-34.46,-34.46
24,-34.46,-34.46,-37.87,-41.78,-34.46,-48.27,-47.26,-48.08,-34.46,-34.46
25,-34.46,-34.46,-39.35,-41.71,-34.46,-42.44,-47.26,-41.85,-34.46,-34.46
26,-34.46,-34.46,-46.52,-41.78,-34.46,-47.19,-47.26,-42.47,-34.46,-34.46
27,-34.46,-34.46,-46.52,-41.78,-34.46,-45.8,-47.26,-39.74,-34.46,-34.46
28,-34.46,-34.46,-44.34,-41.78,-34.46,-45.01,-42.76,-42.97,-34.46,-34.46
29,-34.46,-34.46,-41.7,-38.2,-34.46,-45.78,-45.36,-41.78,-34.46,-34.46
30,-34.46,-34.46,-35.93,-38.2,-34.46,-45.12,-41.92,-44.29,-34.46,-34.46
31,-34.46,-34.46,-40.76,-41.78,-34.46,-41.52,-43.51,-52.21,-34.46,-34.46
32,-34.46,-34.46,-41.03,-34.62,-34.46,-43.36,-45.92,-43.64,-34.46,-34.46
33,-34.46,-34.46,-42.11,-34.62,-34.46,-45.8,-45.85,-44.8,-34.46,-34.46
34,-34.46,-34.46,-44.53,-35.11,-34.46,-45.01,-44.08,-47.01,-34.46,-34.46
35,-34.46,-34.46,-37.96,-38.69,-34.46,-39.35,-42.88,-44.51,-34.46,-34.46
36,-34.46,-34.46,-33.9,-35.88,-34.46,-39.4,-41.83,-42.76,-33.9,-35.54
37,-34.46,-35.54,-33.9,-33.9,-33.9,-37.34,-38.89,-43.06,-33.9,-33.9
38,-35.54,-35.54,-33.9,-33.9,-35.54,-37.59,-46.12,-42.63,-33.9,-33.9
39,-35.54,-35.54,-33.9,-33.9,-35.54,-40.53,-38.51,-39.71,-33.9,-33.9
40,-33.9,-34.46,-33.9,-33.9,-35.54,-39.77,-37.55,-45.5,-33.9,-33.9
41,-33.9,-34.46,-33.9,-33.9,-35.54,-38.74,-35.66,-41.78,-33.9,-33.9
42,-33.9,-33.9,-33.9,-33.9,-33.9,-37.55,-35.66,-42.69,-33.9,-33.9
43,-33.9,-33.9,-33.9,-33.9,-33.9,-37.55,-33.96,-43.15,-33.9,-33.9
44,-33.9,-33.9,-33.9,-33.9,-33.9,-37.55,-33.96,-42.63,-33.9,-33.9
45,-33.9,-33.9,-33.9,-33.9,-33.9,-37.55,-33.96,-47.78,-33.9,-33.9
46,-33.9,-33.9,-33.9,-33.9,-33.9,-38.74,-33.96,-43.63,-33.9,-33.9
47,-33.9,-33.9,-33.9,-33.9,-33.9,-38.74,-33.96,-37.92,-33.9,-33.9
48,-33.9,-33.9,-33.9,-33.9,-33.9,-37.55,-33.96,-47.53,-33.9,-33.9
49,-33.9,-33.9,-33.9,-33.9,-33.9,-37.55,-33.9,-41.61,-33.9,-33.9
50,-33.9,-33.9,-33.9,-33.9,-33.9,-38.74,-33.9,-37.84,-33.9,-33.9
51,-33.9,-33.9,-33.9,-33.9,-33.9,-38.74,-33.9,-40.53,-33.9,-33.9
52,-33.9,-33.9,-33.9,-33.9,-33.9,-38.74,-33.9,-37.96,-33.9,-33.9
53,-33.9,-33.9,-33.9,-33.9,-33.9,-38.74,-33.9,-37.96,-33.9,-33.9
54,-33.9,-33.9,-33.9,-33.9,-33.9,-37.55,-33.9,-37.96,-33.9,-33.9
55,-33.9,-33.9,-33.9,-33.9,-33.9,-37.55,-33.9,-33.9,-33.9,-33.9
56,-33.9,-33.9,-33.9,-33.9,-33.9,-38.74,-33.9,-33.9,-33.9,-33.9
57,-33.9,-33.9,-33.9,-33.9,-33.9,-38.74,-33.9,-34.46,-33.9,-33.9
58,-33.9,-33.9,-33.9,-33.9,-33.9,-37.55,-33.9,-36.15,-33.9,-33.9
59,-33.9,-33.9,-33.9,-33.9,-33.9,-37.55,-33.9,-33.9,-33.9,-33.9
60,-33.9,-33.9,-33.9,-33.9,-33.9,-38.74,-33.9,-33.9,-33.9,-33.9
61,-33.9,-33.9,-33.9,-33.9,-33.9,-38.74,-33.9,-33.9,-33.9,-33.9
62,-33.9,-33.9,-33.9,-33.9,-33.9,-36.9,-33.9,-33.9,-33.9,-33.9
63,-33.9,-33.9,-33.9,-33.9,-33.9,-36.9,-33.9,-33.9,-33.9,-33.9
64,-33.9,-33.9,-33.9,-33.9,-33.9,-35.08,-33.9,-33.9,-33.9,-33.9
65,-33.9,-33.9,-33.9,-33.9,-33.9,-35.08,-33.9,-33.9,-33.9,-33.9
