iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness,particle_4_fitness,particle_5_fitness
1,-24.44,-21.88,-25.81,-26.63,-25.27
2,-25.0,-23.59,-21.97,-24.82,-22.05
3,-26.66,-31.33,-23.74,-27.8,-26.31
4,-20.72,-28.41,-26.81,-21.22,-27.97
5,-20.72,-26.31,-27.52,-27.97,-20.89
6,-20.72,-22.36,-25.57,-24.88,-25.37
7,-20.72,-27.59,-25.37,-29.74,-19.9
8,-20.89,-21.62,-21.59,-22.7,-19.9
9,-23.64,-19.9,-20.6,-24.92,-19.9
10,-23.64,-20.89,-23.64,-24.33,-19.9
11,-23.64,-19.9,-19.9,-20.6,-19.9
12,-19.9,-23.64,-19.9,-19.9,-19.9
13,-19.9,-19.9,-19.9,-19.9,-19.9
14,-19.9,-19.9,-19.9,-19.9,-19.9
15,-19.9,-19.9,-19.9,-19.9,-19.9
16,-19.9,-19.9,-19.9,-19.9,-19.9
17,-19.9,-19.9,-19.9,-19.9,-19.9
18,-19.9,-19.9,-19.9,-19.9,-19.9
19,-19.9,-19.9,-19.9,-19.9,-19.9
20,-19.9,-19.9,-19.9,-19.9,-19.9
21,-19.9,-19.9,-19.9,-19.9,-19.9
22,-19.9,-19.9,-19.9,-19.9,-19.9
23,-19.9,-19.9,-19.9,-19.9,-19.9
24,-19.9,-19.9,-19.9,-19.9,-19.9
25,-19.9,-19.9,-19.9,-19.9,-19.9
26,-19.9,-19.9,-19.9,-19.9,-19.9
27,-19.9,-19.9,-19.9,-19.9,-19.9
28,-19.9,-19.9,-19.9,-19.9,-19.9
29,-19.9,-19.9,-19.9,-19.9,-19.9
30,-19.9,-19.9,-19.9,-19.9,-19.9
31,-19.9,-19.9,-19.9,-19.9,-19.9
32,-19.9,-19.9,-19.9,-19.9,-19.9
33,-19.9,-19.9,-19.9,-19.9,-19.9
34,-19.9,-19.9,-19.9,-19.9,-19.9
35,-19.9,-19.9,-19.9,-19.9,-19.9
36,-19.9,-19.9,-19.9,-19.9,-19.9
37,-19.9,-19.9,-19.9,-19.9,-19.9
38,-19.9,-19.9,-19.9,-19.9,-19.9
39,-19.9,-19.9,-19.9,-19.9,-19.9
40,-19.9,-19.9,-19.9,-19.9,-19.9
41,-19.9,-19.9,-19.9,-19.9,-19.9
42,-19.9,-19.9,-19.9,-19.9,-19.9
43,-19.9,-19.9,-19.9,-19.9,-19.9
44,-19.9,-19.9,-19.9,-19.9,-19.9
45,-19.9,-19.9,-19.9,-19.9,-19.9
46,-19.9,-19.9,-19.9,-19.9,-19.9
47,-19.9,-19.9,-19.9,-19.9,-19.9
48,-19.9,-19.9,-19.9,-19.9,-19.9
49,-19.9,-19.9,-19.9,-19.9,-19.9
50,-19.9,-19.9,-19.9,-19.9,-19.9
51,-19.9,-19.9,-19.9,-19.9,-19.9
52,-19.9,-19.9,-19.9,-19.9,-19.9
53,-19.9,-19.9,-19.9,-19.9,-19.9
54,-19.9,-19.9,-19.9,-19.9,-19.9
55,-19.9,-19.9,-19.9,-19.9,-19.9
56,-19.9,-19.9,-19.9,-19.9,-19.9
57,-19.9,-19.9,-19.9,-19.9,-19.9
58,-19.9,-19.9,-19.9,-19.9,-19.9
59,-19.9,-19.9,-19.9,-19.9,-19.9
60,-19.9,-19.9,-19.9,-19.9,-19.9
61,-19.9,-19.9,-19.9,-19.9,-19.9
62,-19.9,-19.9,-19.9,-19.9,-19.9
63,-19.9,-19.9,-19.9,-19.9,-19.9
64,-19.9,-19.9,-19.9,-19.9,-19.9
65,-19.9,-19.9,-19.9,-19.9,-19.9
66,-19.9,-19.9,-19.9,-19.9,-19.9
67,-19.9,-19.9,-19.9,-19.9,-19.9
68,-19.9,-19.9,-19.9,-19.9,-19.9
69,-19.9,-19.9,-19.9,-19.9,-19.9
70,-19.9,-19.9,-19.9,-19.9,-19.9
71,-19.9,-19.9,-19.9,-19.9,-19.9
72,-19.9,-19.9,-19.9,-19.9,-19.9
73,-19.9,-19.9,-19.9,-19.9,-19.9
74,-19.9,-19.9,-19.9,-19.9,-19.9
75,-19.9,-19.9,-19.9,-19.9,-19.9
76,-19.9,-19.9,-19.9,-19.9,-19.9
77,-19.9,-19.9,-19.9,-19.9,-19.9
78,-19.9,-19.9,-19.9,-19.9,-19.9
79,-19.9,-19.9,-19.9,-19.9,-19.9
80,-19.9,-19.9,-19.9,-19.9,-19.9
81,-19.9,-19.9,-19.9,-19.9,-19.9
82,-19.9,-19.9,-19.9,-19.9,-19.9
83,-19.9,-19.9,-19.9,-19.9,-19.9
84,-19.9,-19.9,-19.9,-19.9,-19.9
85,-19.9,-19.9,-19.9,-19.9,-19.9
86,-19.9,-19.9,-19.9,-19.9,-19.9
87,-19.9,-19.9,-19.9,-19.9,-19.9
88,-19.9,-19.9,-19.9,-19.9,-19.9
89,-19.9,-19.9,-19.9,-19.9,-19.9
90,-19.9,-19.9,-19.9,-19.9,-19.9
91,-19.9,-19.9,-19.9,-19.9,-19.9
92,-19.9,-19.9,-19.9,-19.9,-19.9
93,-19.9,-19.9,-19.9,-19.9,-19.9
94,-19.9,-19.9,-19.9,-19.9,-19.9
95,-19.9,-19.9,-19.9,-19.9,-19.9
96,-19.9,-19.9,-19.9,-19.9,-19.9
97,-19.9,-19.9,-19.9,-19.9,-19.9
98,-19.9,-19.9,-19.9,-19.9,-19.9
99,-19.9,-19.9,-19.9,-19.9,-19.9
100,-19.9,-19.9,-19.9,-19.9,-19.9
101,-19.9,-19.9,-19.9,-19.9,-19.9
102,-19.9,-19.9,-19.9,-19.9,-19.9
103,-19.9,-19.9,-19.9,-19.9,-19.9
104,-19.9,-19.9,-19.9,-19.9,-19.9
105,-19.9,-19.9,-19.9,-19.9,-19.9
106,-19.9,-19.9,-19.9,-19.9,-19.9
107,-19.9,-19.9,-19.9,-19.9,-19.9
108,-19.9,-19.9,-19.9,-19.9,-19.9
109,-19.9,-19.9,-19.9,-19.9,-19.9
110,-19.9,-19.9,-19.9,-19.9,-19.9
111,-19.9,-19.9,-19.9,-19.9,-19.9
112,-19.9,-19.9,-19.9,-19.9,-19.9
113,-19.9,-19.9,-19.9,-19.9,-19.9
114,-19.9,-19.9,-19.9,-19.9,-19.9
115,-19.9,-19.9,-19.9,-19.9,-19.9
116,-19.9,-19.9,-19.9,-19.9,-19.9
117,-19.9,-19.9,-19.9,-19.9,-19.9
118,-19.9,-19.9,-19.9,-19.9,-19.9
119,-19.9,-19.9,-19.9,-19.9,-19.9
120,-19.9,-19.9,-19.9,-19.9,-19.9
121,-19.9,-19.9,-19.9,-19.9,-19.9
122,-19.9,-19.9,-19.9,-19.9,-19.9
123,-19.9,-19.9,-19.9,-19.9,-19.9
124,-19.9,-19.9,-19.9,-19.9,-19.9
125,-19.9,-19.9,-19.9,-19.9,-19.9
