iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3,tpd_particle_4,tpd_particle_5,tpd_particle_6,tpd_particle_7,tpd_particle_8,tpd_particle_9,tpd_particle_10
1,40.2,43.01,46.99,44.62,63.41,58.19,48.69,45.26,46.24,45.61
2,46.96,43.18,43.2,41.23,42.74,45.17,59.99,44.12,38.32,46.3
3,42.22,46.6,44.12,41.26,43.4,62.66,40.86,41.53,46.32,40.07
4,41.58,45.14,46.6,41.18,44.89,44.62,41.46,44.53,40.96,43.44
5,36.64,43.08,60.0,44.26,43.57,41.23,43.43,41.78,44.26,41.42
6,37.84,39.58,44.53,40.44,50.06,39.58,43.21,45.27,61.05,39.25
7,44.62,44.26,49.96,46.32,50.06,40.6,45.88,66.49,46.32,51.77
8,46.32,46.32,43.54,61.05,46.67,46.32,46.32,44.52,60.19,46.67
9,60.19,46.32,46.05,61.05,37.77,61.05,61.05,46.4,41.26,66.49
10,61.05,61.05,66.49,40.96,43.57,39.47,46.32,43.47,41.18,40.18
11,44.26,39.09,43.18,61.05,46.67,40.96,60.19,40.18,46.32,39.91
12,44.62,44.26,44.62,41.23,38.16,44.26,38.1,46.67,46.32,43.57
13,46.32,44.26,44.26,40.96,40.96,61.05,40.96,50.06,46.32,43.57
14,61.05,46.32,44.62,39.09,44.26,46.32,40.96,46.67,46.32,50.06
15,39.09,61.05,46.32,44.26,40.6,61.05,40.6,50.06,39.47,51.77
16,44.26,44.52,61.05,40.44,46.32,38.1,40.6,46.67,46.32,60.0
17,40.44,40.96,40.44,44.52,61.05,44.62,37.74,44.26,60.19,43.43
18,46.32,38.1,46.32,46.32,61.05,41.23,39.47,45.88,46.32,45.27
19,46.32,40.6,61.05,61.05,40.96,44.62,44.26,51.77,46.32,46.4
20,60.19,61.05,44.52,40.96,40.96,41.23,61.05,66.49,44.26,46.05
21,61.05,44.62,46.32,40.96,44.62,40.96,44.52,46.67,40.6,43.21
22,61.05,41.23,38.42,61.05,41.23,40.44,46.32,43.57,46.32,46.7
23,44.26,44.62,40.6,41.23,40.96,46.32,61.05,39.55,60.19,51.77
24,40.96,44.26,37.84,40.96,39.09,46.32,61.05,43.57,39.47,66.49
25,46.32,44.26,44.62,39.09,44.26,46.32,61.05,44.62,46.32,40.18
26,41.18,46.32,61.05,44.26,40.44,61.05,40.96,51.77,46.32,45.14
27,39.09,46.32,38.16,40.44,46.32,39.47,40.96,66.49,46.32,59.86
28,38.42,46.32,40.96,46.32,61.05,44.62,40.6,44.26,61.05,43.21
29,39.47,40.44,44.62,61.05,39.58,41.23,41.18,44.52,46.32,46.4
30,39.58,46.32,41.23,40.96,41.26,40.6,39.09,50.06,40.96,46.32
31,39.47,61.05,40.96,40.96,44.62,39.58,61.05,45.27,46.32,61.05
32,44.62,40.6,39.47,40.6,41.23,44.26,39.47,66.49,46.32,46.7
33,41.26,40.96,44.26,61.05,40.96,44.62,44.52,46.7,46.32,46.7
34,41.18,44.62,40.44,41.23,39.09,46.32,46.32,50.06,61.05,46.7
35,37.84,41.23,44.52,40.96,40.6,46.32,40.96,46.67,46.32,39.55
36,44.62,37.74,46.32,38.1,44.52,46.32,39.47,46.05,40.96,38.42
37,41.23,44.52,40.96,44.26,40.44,61.05,46.32,43.21,46.32,43.08
