iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness,particle_4_fitness,particle_5_fitness
1,-99.82,-74.46,-100.19,-22.07,-101.84
2,-25.18,-46.93,-46.99,-44.62,-62.83
3,-50.32,-46.67,-40.12,-41.23,-62.83
4,-47.94,-63.46,-44.12,-40.96,-43.4
5,-62.66,-45.25,-39.25,-44.62,-41.53
6,-37.5,-61.32,-51.77,-44.26,-43.43
7,-44.52,-39.39,-61.05,-40.44,-41.23
8,-44.62,-44.26,-39.47,-46.32,-40.96
9,-43.39,-46.32,-40.96,-61.05,-41.26
10,-61.05,-46.32,-61.05,-40.44,-44.26
11,-61.05,-61.05,-40.96,-46.32,-40.44
12,-40.96,-39.09,-40.96,-61.05,-46.32
13,-43.39,-40.96,-40.6,-41.23,-60.19
14,-41.58,-61.05,-44.62,-40.96,-61.05
15,-37.67,-40.6,-44.26,-39.09,-40.96
16,-61.05,-61.05,-40.44,-44.26,-40.96
17,-39.09,-61.05,-46.32,-44.52,-46.32
18,-40.96,-40.96,-61.05,-46.32,-61.05
19,-37.5,-40.96,-39.47,-61.05,-39.09
20,-37.67,-40.6,-46.32,-61.05,-40.96
21,-40.44,-40.6,-46.32,-40.96,-38.1
22,-40.96,-39.09,-46.32,-46.32,-40.6
23,-38.1,-40.96,-40.6,-41.23,-61.05
24,-61.05,-46.32,-61.05,-40.6,-38.42
25,-39.47,-40.6,-39.09,-39.09,-40.96
26,-40.96,-46.32,-40.96,-44.26,-44.62
27,-38.1,-60.19,-39.47,-41.26,-44.26
28,-40.6,-61.05,-61.05,-46.32,-41.26
29,-38.02,-40.96,-38.16,-39.47,-46.32
30,-38.32,-40.96,-40.96,-38.42,-61.05
31,-38.25,-44.62,-44.62,-40.96,-40.44
32,-38.02,-41.23,-41.23,-40.96,-46.32
33,-43.39,-41.23,-40.6,-40.6,-61.05
34,-61.05,-38.1,-39.09,-61.05,-44.52
35,-40.96,-44.26,-44.26,-39.09,-44.52
36,-46.32,-44.52,-61.05,-61.05,-44.62
37,-40.96,-46.32,-40.44,-38.1,-41.23
38,-40.96,-60.19,-40.96,-40.96,-39.58
39,-46.32,-61.05,-40.44,-39.47,-39.47
40,-43.39,-40.96,-46.32,-40.6,-44.62
41,-36.54,-61.05,-44.52,-61.05,-61.05
42,-38.02,-40.6,-44.62,-39.09,-44.52
43,-43.39,-41.23,-46.32,-40.96,-46.32
44,-46.32,-44.62,-46.32,-46.32,-61.05
45,-37.84,-41.23,-44.52,-44.52,-40.6
46,-39.09,-44.26,-44.52,-37.84,-46.32
47,-37.84,-40.44,-46.32,-38.42,-61.05
48,-46.32,-46.32,-46.32,-39.58,-40.6
49,-60.19,-61.05,-61.05,-61.05,-44.26
50,-40.96,-60.19,-46.32,-44.62,-40.44
51,-46.32,-46.32,-46.32,-41.23,-46.32
52,-61.05,-46.32,-46.32,-44.62,-61.05
53,-41.23,-46.32,-46.32,-41.23,-39.47
54,-40.96,-40.96,-39.47,-44.26,-40.96
55,-39.09,-39.09,-46.32,-40.6,-44.26
56,-41.18,-40.6,-46.32,-46.32,-40.96
57,-40.44,-44.26,-40.44,-40.44,-46.32
58,-46.32,-46.32,-46.32,-61.05,-61.05
59,-39.47,-40.44,-61.05,-37.84,-37.77
60,-46.32,-46.32,-61.05,-40.96,-40.96
61,-46.32,-61.05,-46.32,-40.96,-39.47
