iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness,particle_4_fitness,particle_5_fitness,particle_6_fitness,particle_7_fitness,particle_8_fitness,particle_9_fitness,particle_10_fitness
1,-99.82,-74.46,-100.19,-22.07,-101.84,-97.77,-133.1,-28.17,-40.64,-35.02
2,-40.2,-43.01,-46.99,-44.62,-63.41,-58.19,-48.69,-45.26,-46.24,-45.61
3,-46.96,-43.18,-43.2,-41.23,-42.74,-45.17,-59.99,-44.12,-38.32,-46.3
4,-42.22,-46.6,-44.12,-41.26,-43.4,-62.66,-40.86,-41.53,-46.32,-40.07
5,-41.58,-45.14,-46.6,-41.18,-44.89,-44.62,-41.46,-44.53,-40.96,-43.44
6,-36.64,-43.08,-60.0,-44.26,-43.57,-41.23,-43.43,-41.78,-44.26,-41.42
7,-37.84,-39.58,-44.53,-40.44,-50.06,-39.58,-43.21,-45.27,-61.05,-39.25
8,-44.62,-44.26,-49.96,-46.32,-50.06,-40.6,-45.88,-66.49,-46.32,-51.77
9,-46.32,-46.32,-43.54,-61.05,-46.67,-46.32,-46.32,-44.52,-60.19,-46.67
10,-60.19,-46.32,-46.05,-61.05,-37.77,-61.05,-61.05,-46.4,-41.26,-66.49
11,-61.05,-61.05,-66.49,-40.96,-43.57,-39.47,-46.32,-43.47,-41.18,-40.18
12,-44.26,-39.09,-43.18,-61.05,-46.67,-40.96,-60.19,-40.18,-46.32,-39.91
13,-44.62,-44.26,-44.62,-41.23,-38.16,-44.26,-38.1,-46.67,-46.32,-43.57
14,-46.32,-44.26,-44.26,-40.96,-40.96,-61.05,-40.96,-50.06,-46.32,-43.57
15,-61.05,-46.32,-44.62,-39.09,-44.26,-46.32,-40.96,-46.67,-46.32,-50.06
16,-39.09,-61.05,-46.32,-44.26,-40.6,-61.05,-40.6,-50.06,-39.47,-51.77
17,-44.26,-44.52,-61.05,-40.44,-46.32,-38.1,-40.6,-46.67,-46.32,-60.0
18,-40.44,-40.96,-40.44,-44.52,-61.05,-44.62,-37.74,-44.26,-60.19,-43.43
19,-46.32,-38.1,-46.32,-46.32,-61.05,-41.23,-39.47,-45.88,-46.32,-45.27
20,-46.32,-40.6,-61.05,-61.05,-40.96,-44.62,-44.26,-51.77,-46.32,-46.4
21,-60.19,-61.05,-44.52,-40.96,-40.96,-41.23,-61.05,-66.49,-44.26,-46.05
22,-61.05,-44.62,-46.32,-40.96,-44.62,-40.96,-44.52,-46.67,-40.6,-43.21
23,-61.05,-41.23,-38.42,-61.05,-41.23,-40.44,-46.32,-43.57,-46.32,-46.7
24,-44.26,-44.62,-40.6,-41.23,-40.96,-46.32,-61.05,-39.55,-60.19,-51.77
25,-40.96,-44.26,-37.84,-40.96,-39.09,-46.32,-61.05,-43.57,-39.47,-66.49
26,-46.32,-44.26,-44.62,-39.09,-44.26,-46.32,-61.05,-44.62,-46.32,-40.18
27,-41.18,-46.32,-61.05,-44.26,-40.44,-61.05,-40.96,-51.77,-46.32,-45.14
28,-39.09,-46.32,-38.16,-40.44,-46.32,-39.47,-40.96,-66.49,-46.32,-59.86
29,-38.42,-46.32,-40.96,-46.32,-61.05,-44.62,-40.6,-44.26,-61.05,-43.21
30,-39.47,-40.44,-44.62,-61.05,-39.58,-41.23,-41.18,-44.52,-46.32,-46.4
31,-39.58,-46.32,-41.23,-40.96,-41.26,-40.6,-39.09,-50.06,-40.96,-46.32
32,-39.47,-61.05,-40.96,-40.96,-44.62,-39.58,-61.05,-45.27,-46.32,-61.05
33,-44.62,-40.6,-39.47,-40.6,-41.23,-44.26,-39.47,-66.49,-46.32,-46.7
34,-41.26,-40.96,-44.26,-61.05,-40.96,-44.62,-44.52,-46.7,-46.32,-46.7
35,-41.18,-44.62,-40.44,-41.23,-39.09,-46.32,-46.32,-50.06,-61.05,-46.7
36,-37.84,-41.23,-44.52,-40.96,-40.6,-46.32,-40.96,-46.67,-46.32,-39.55
37,-44.62,-37.74,-46.32,-38.1,-44.52,-46.32,-39.47,-46.05,-40.96,-38.42
38,-41.23,-44.52,-40.96,-44.26,-40.44,-61.05,-46.32,-43.21,-46.32,-43.08
39,-46.32,-44.26,-40.96,-40.44,-46.32,-40.44,-37.84,-60.0,-46.32,-46.7
40,-61.05,-44.26,-61.05,-46.32,-61.05,-60.19,-39.09,-46.05,-37.84,-51.77
41,-44.26,-46.32,-44.62,-61.05,-39.47,-61.05,-39.58,-51.77,-39.58,-60.0
42,-46.32,-60.19,-41.23,-38.16,-61.05,-40.96,-61.05,-66.49,-39.58,-43.57
43,-60.19,-61.05,-44.62,-40.96,-38.16,-40.96,-44.62,-46.05,-44.62,-43.57
