iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3,tpd_particle_4,tpd_particle_5
1,25.18,46.93,46.99,44.62,62.83
2,50.32,46.67,40.12,41.23,62.83
3,47.94,63.46,44.12,40.96,43.4
4,62.66,45.25,39.25,44.62,41.53
5,37.5,61.32,51.77,44.26,43.43
6,44.52,39.39,61.05,40.44,41.23
7,44.62,44.26,39.47,46.32,40.96
8,43.39,46.32,40.96,61.05,41.26
9,61.05,46.32,61.05,40.44,44.26
10,61.05,61.05,40.96,46.32,40.44
11,40.96,39.09,40.96,61.05,46.32
12,43.39,40.96,40.6,41.23,60.19
13,41.58,61.05,44.62,40.96,61.05
14,37.67,40.6,44.26,39.09,40.96
15,61.05,61.05,40.44,44.26,40.96
16,39.09,61.05,46.32,44.52,46.32
17,40.96,40.96,61.05,46.32,61.05
18,37.5,40.96,39.47,61.05,39.09
19,37.67,40.6,46.32,61.05,40.96
20,40.44,40.6,46.32,40.96,38.1
21,40.96,39.09,46.32,46.32,40.6
22,38.1,40.96,40.6,41.23,61.05
23,61.05,46.32,61.05,40.6,38.42
24,39.47,40.6,39.09,39.09,40.96
25,40.96,46.32,40.96,44.26,44.62
26,38.1,60.19,39.47,41.26,44.26
27,40.6,61.05,61.05,46.32,41.26
28,38.02,40.96,38.16,39.47,46.32
29,38.32,40.96,40.96,38.42,61.05
30,38.25,44.62,44.62,40.96,40.44
31,38.02,41.23,41.23,40.96,46.32
32,43.39,41.23,40.6,40.6,61.05
33,61.05,38.1,39.09,61.05,44.52
34,40.96,44.26,44.26,39.09,44.52
35,46.32,44.52,61.05,61.05,44.62
36,40.96,46.32,40.44,38.1,41.23
37,40.96,60.19,40.96,40.96,39.58
38,46.32,61.05,40.44,39.47,39.47
39,43.39,40.96,46.32,40.6,44.62
40,36.54,61.05,44.52,61.05,61.05
41,38.02,40.6,44.62,39.09,44.52
42,43.39,41.23,46.32,40.96,46.32
43,46.32,44.62,46.32,46.32,61.05
44,37.84,41.23,44.52,44.52,40.6
45,39.09,44.26,44.52,37.84,46.32
46,37.84,40.44,46.32,38.42,61.05
47,46.32,46.32,46.32,39.58,40.6
48,60.19,61.05,61.05,61.05,44.26
49,40.96,60.19,46.32,44.62,40.44
50,46.32,46.32,46.32,41.23,46.32
51,61.05,46.32,46.32,44.62,61.05
52,41.23,46.32,46.32,41.23,39.47
53,40.96,40.96,39.47,44.26,40.96
54,39.09,39.09,46.32,40.6,44.26
55,41.18,40.6,46.32,46.32,40.96
56,40.44,44.26,40.44,40.44,46.32
57,46.32,46.32,46.32,61.05,61.05
58,39.47,40.44,61.05,37.84,37.77
59,46.32,46.32,61.05,40.96,40.96
60,46.32,61.05,46.32,40.96,39.47
61,46.32,61.05,46.32,40.6,44.62
62,46.32,40.96,46.32,40.6,41.23
63,44.62,44.62,46.32,39.09,40.96
64,41.23,44.62,40.96,44.62,38.16
65,61.05,41.23,46.32,41.23,44.26
66,44.26,39.09,46.32,39.47,44.26
67,44.26,44.26,46.32,61.05,44.52
68,44.62,44.26,39.47,61.05,40.44
69,46.32,46.32,39.47,61.05,46.32
70,61.05,46.32,40.96,46.32,40.44
71,40.96,60.19,46.32,61.05,46.32
72,44.26,61.05,61.05,40.6,61.05
73,44.62,40.96,37.84,40.96,40.44
74,44.52,44.62,61.05,39.09,46.32
75,46.32,44.62,41.26,40.6,46.32
76,38.02,41.23,41.18,44.52,41.23
77,41.32,39.09,39.47,39.47,40.6
78,41.58,44.26,61.05,61.05,38.42
79,43.39,44.26,38.16,38.16,46.32
80,58.11,46.32,40.96,40.96,46.32
81,61.05,46.32,44.62,44.62,46.32
82,40.96,46.32,46.32,41.23,46.32
83,40.96,46.32,46.32,44.62,60.19
84,40.96,61.05,44.52,41.23,46.32
85,46.32,60.19,46.32,44.26,44.52
86,39.47,46.32,44.52,40.44,61.05
87,46.32,40.96,46.32,46.32,41.23
88,39.47,40.6,46.32,61.05,40.96
