iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness,particle_4_fitness,particle_5_fitness,particle_6_fitness,particle_7_fitness,particle_8_fitness,particle_9_fitness,particle_10_fitness
1,-20.09,-18.29,-21.19,-23.09,-20.59,-18.3,-21.42,-19.73,-23.01,-22.84
2,-24.97,-19.44,-23.1,-21.98,-18.3,-19.87,-20.08,-19.61,-16.39,-19.54
3,-21.39,-20.85,-20.58,-23.45,-24.21,-23.84,-19.55,-19.28,-16.39,-19.86
4,-19.21,-19.16,-22.75,-24.28,-22.87,-23.15,-20.85,-20.44,-16.39,-16.39
5,-20.59,-17.38,-18.75,-18.37,-18.51,-17.49,-20.44,-21.98,-16.39,-16.33
6,-24.97,-17.34,-27.69,-22.27,-22.79,-17.39,-22.32,-22.79,-21.76,-16.33
7,-21.19,-17.3,-17.72,-22.3,-19.55,-22.59,-17.78,-19.61,-16.33,-16.33
8,-16.46,-20.7,-24.28,-18.47,-19.67,-19.54,-18.54,-24.28,-16.46,-16.33
9,-16.46,-25.43,-16.46,-17.37,-18.54,-18.43,-19.54,-21.19,-16.33,-16.33
10,-16.46,-19.54,-16.46,-20.58,-19.67,-19.42,-19.42,-19.54,-16.39,-16.33
11,-16.33,-18.47,-16.34,-17.73,-18.85,-19.42,-16.34,-18.54,-16.39,-16.33
12,-16.33,-19.42,-16.34,-19.41,-18.47,-19.42,-16.33,-19.54,-16.39,-16.33
13,-16.33,-16.34,-16.34,-19.41,-18.42,-16.34,-16.33,-16.46,-16.34,-16.33
14,-16.33,-16.34,-16.34,-19.41,-17.71,-16.33,-16.33,-16.33,-16.34,-16.33
15,-16.33,-16.34,-16.33,-19.41,-19.14,-16.33,-16.33,-16.33,-16.34,-16.33
16,-16.33,-16.34,-16.33,-16.33,-19.14,-16.33,-16.33,-16.33,-16.33,-16.33
17,-16.33,-16.34,-16.33,-16.33,-19.14,-16.33,-16.33,-16.33,-16.34,-16.33
18,-16.33,-16.34,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.34,-16.33
19,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33
20,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33
21,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.34,-16.33
22,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.34,-16.33
23,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.34,-16.33
24,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33
25,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33
26,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33
27,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33
28,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33
29,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33,-16.33
