iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3,tpd_particle_4,tpd_particle_5
1,26.25,32.5,32.5,32.5,19.5
2,28.5,26.25,27.5,22.5,19.5
3,27.5,21.79,30.0,37.5,19.5
4,26.79,28.5,26.25,26.25,19.5
5,28.5,21.0,26.25,32.5,19.5
6,28.5,19.5,30.0,28.5,19.5
7,18.5,19.5,19.5,28.5,18.5
8,18.5,28.5,28.5,19.5,19.5
9,18.5,28.5,28.5,18.5,19.5
10,18.5,28.5,28.5,18.5,18.5
11,18.5,28.5,28.5,18.5,18.5
12,18.5,28.5,28.5,18.5,18.5
13,18.5,18.5,28.5,18.5,18.5
14,18.5,18.5,28.5,18.5,18.5
15,18.5,18.5,28.5,18.5,18.5
16,18.5,18.5,18.5,18.5,18.5
17,18.5,18.5,18.5,18.5,18.5
18,18.5,18.5,18.5,18.5,18.5
19,18.5,18.5,18.5,18.5,18.5
20,18.5,18.5,18.5,18.5,18.5
21,18.5,18.5,18.5,18.5,18.5
22,18.5,18.5,18.5,18.5,18.5
23,18.5,18.5,18.5,18.5,18.5
24,18.5,18.5,18.5,18.5,18.5
25,18.5,18.5,18.5,18.5,18.5
26,18.5,18.5,18.5,18.5,18.5
27,18.5,18.5,18.5,18.5,18.5
28,18.5,18.5,18.5,18.5,18.5
29,18.5,18.5,18.5,18.5,18.5
30,18.5,18.5,18.5,18.5,18.5
31,18.5,18.5,18.5,18.5,18.5
32,18.5,18.5,18.5,18.5,18.5
33,18.5,18.5,18.5,18.5,18.5
34,18.5,18.5,18.5,18.5,18.5
35,18.5,18.5,18.5,18.5,18.5
36,18.5,18.5,18.5,18.5,18.5
37,18.5,18.5,18.5,18.5,18.5
38,18.5,18.5,18.5,18.5,18.5
39,18.5,18.5,18.5,18.5,18.5
40,18.5,18.5,18.5,18.5,18.5
41,18.5,18.5,18.5,18.5,18.5
42,18.5,18.5,18.5,18.5,18.5
43,18.5,18.5,18.5,18.5,18.5
44,18.5,18.5,18.5,18.5,18.5
45,18.5,18.5,18.5,18.5,18.5
46,18.5,18.5,18.5,18.5,18.5
47,18.5,18.5,18.5,18.5,18.5
48,18.5,18.5,18.5,18.5,18.5
49,18.5,18.5,18.5,18.5,18.5
50,18.5,18.5,18.5,18.5,18.5
51,18.5,18.5,18.5,18.5,18.5
52,18.5,18.5,18.5,18.5,18.5
53,18.5,18.5,18.5,18.5,18.5
54,18.5,18.5,18.5,18.5,18.5
55,18.5,18.5,18.5,18.5,18.5
56,18.5,18.5,18.5,18.5,18.5
57,18.5,18.5,18.5,18.5,18.5
58,18.5,18.5,18.5,18.5,18.5
59,18.5,18.5,18.5,18.5,18.5
60,18.5,18.5,18.5,18.5,18.5
61,18.5,18.5,18.5,18.5,18.5
62,18.5,18.5,18.5,18.5,18.5
63,18.5,18.5,18.5,18.5,18.5
64,18.5,18.5,18.5,18.5,18.5
65,18.5,18.5,18.5,18.5,18.5
66,18.5,18.5,18.5,18.5,18.5
67,18.5,18.5,18.5,18.5,18.5
68,18.5,18.5,18.5,18.5,18.5
69,18.5,18.5,18.5,18.5,18.5
70,18.5,18.5,18.5,18.5,18.5
71,18.5,18.5,18.5,18.5,18.5
72,18.5,18.5,18.5,18.5,18.5
73,18.5,18.5,18.5,18.5,18.5
74,18.5,18.5,18.5,18.5,18.5
75,18.5,18.5,18.5,18.5,18.5
76,18.5,18.5,18.5,18.5,18.5
77,18.5,18.5,18.5,18.5,18.5
78,18.5,18.5,18.5,18.5,18.5
79,18.5,18.5,18.5,18.5,18.5
80,18.5,18.5,18.5,18.5,18.5
81,18.5,18.5,18.5,18.5,18.5
82,18.5,18.5,18.5,18.5,18.5
83,18.5,18.5,18.5,18.5,18.5
84,18.5,18.5,18.5,18.5,18.5
85,18.5,18.5,18.5,18.5,18.5
86,18.5,18.5,18.5,18.5,18.5
87,18.5,18.5,18.5,18.5,18.5
88,18.5,18.5,18.5,18.5,18.5
89,18.5,18.5,18.5,18.5,18.5
90,18.5,18.5,18.5,18.5,18.5
91,18.5,18.5,18.5,18.5,18.5
92,18.5,18.5,18.5,18.5,18.5
93,18.5,18.5,18.5,18.5,18.5
94,18.5,18.5,18.5,18.5,18.5
95,18.5,18.5,18.5,18.5,18.5
96,18.5,18.5,18.5,18.5,18.5
97,18.5,18.5,18.5,18.5,18.5
98,18.5,18.5,18.5,18.5,18.5
99,18.5,18.5,18.5,18.5,18.5
100,18.5,18.5,18.5,18.5,18.5
