iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3
1,28.36,38.5,28.36
2,28.36,53.71,30.31
3,28.36,30.31,62.17
4,28.36,28.36,32.58
5,28.36,62.17,53.71
6,28.36,30.31,32.58
7,28.36,30.31,53.71
8,28.36,62.17,38.5
9,28.36,28.36,53.71
10,28.36,28.36,26.67
11,32.58,30.31,32.58
12,32.58,26.67,26.67
13,26.67,38.5,26.67
14,26.67,62.17,26.67
15,26.17,28.36,26.67
16,26.67,30.31,26.67
17,26.67,74.0,26.67
18,26.67,62.17,26.67
19,26.67,32.58,26.67
20,26.67,32.58,26.67
21,26.67,32.58,26.67
22,26.67,28.36,26.67
23,26.67,35.27,26.67
24,26.67,42.44,26.67
25,26.67,32.58,26.67
26,26.67,26.67,26.67
27,26.67,26.67,26.67
28,26.67,26.67,26.67
29,26.67,26.67,26.67
30,26.67,26.67,26.67
31,26.67,26.67,26.67
32,26.67,26.67,26.67
33,26.67,26.67,26.67
34,26.67,26.67,26.67
35,26.67,26.67,26.67
36,26.67,26.67,26.67
37,26.67,26.67,26.67
38,26.67,26.67,26.67
39,26.67,26.67,26.67
40,26.67,26.67,26.67
41,26.67,26.67,26.67
42,26.67,26.67,26.67
43,26.67,26.67,26.67
44,26.67,26.67,26.67
45,26.67,26.67,26.67
46,26.67,26.67,26.67
47,26.67,26.67,26.67
48,26.67,26.67,26.67
49,26.67,26.67,26.67
50,26.67,26.67,26.67
51,26.67,26.67,26.67
52,26.67,26.67,26.67
53,26.67,26.67,26.67
54,26.67,32.58,26.67
55,26.67,32.58,26.67
56,26.67,26.67,26.67
57,26.67,26.67,26.67
58,26.67,26.67,26.67
59,26.67,26.67,26.67
60,26.67,26.67,26.67
61,26.67,26.67,26.67
62,26.67,26.67,26.67
63,26.67,26.67,26.67
64,26.67,26.67,26.67
65,26.67,32.58,26.67
66,26.67,26.67,26.67
67,26.67,26.67,26.67
68,26.67,26.67,26.67
69,26.67,26.67,26.67
70,26.67,26.67,26.67
71,26.67,26.67,26.67
72,26.67,26.67,26.67
73,26.67,26.67,26.67
74,26.67,26.67,26.67
75,26.67,26.67,26.67
76,26.67,26.67,26.67
77,26.67,26.67,26.67
78,26.67,26.67,26.67
79,26.67,26.67,26.67
80,26.67,26.67,26.67
81,26.67,26.67,26.67
82,26.67,26.67,26.67
83,26.67,26.67,26.67
84,26.67,26.67,26.67
85,26.67,26.67,26.67
86,26.67,26.67,26.67
87,26.67,26.67,26.67
88,26.67,26.67,26.67
89,26.67,32.58,26.67
90,26.67,26.67,26.67
91,26.67,26.67,26.67
92,26.67,26.67,26.67
93,26.67,32.58,26.67
94,26.67,26.67,26.67
95,26.67,26.67,26.67
96,26.67,26.67,26.67
97,26.67,26.67,26.67
98,26.67,32.58,26.67
99,26.67,26.67,26.67
100,26.67,53.71,26.67
101,26.67,53.71,26.67
102,26.67,42.44,26.67
103,26.67,32.58,26.67
104,26.67,26.67,26.67
105,26.67,32.58,26.67
106,26.67,26.67,26.67
107,26.67,26.67,26.67
108,26.67,26.67,26.67
109,26.67,26.67,26.67
110,26.67,26.67,26.67
111,26.67,26.67,26.67
112,26.67,26.67,26.67
113,26.67,26.67,26.67
114,26.67,26.67,26.67
115,26.67,26.67,26.67
116,26.67,26.67,26.67
117,26.67,26.67,26.67
118,26.67,26.67,26.67
119,26.67,26.67,26.67
120,26.67,26.67,26.67
121,26.67,26.67,26.67
122,26.67,26.67,26.67
123,26.67,26.67,26.67
124,26.67,32.58,26.67
125,26.67,53.71,26.67
126,26.67,53.71,26.67
127,26.67,53.71,26.67
128,26.67,26.67,26.67
129,26.67,26.67,26.67
130,26.67,26.67,26.67
131,26.67,26.67,26.67
132,26.67,26.67,26.67
133,26.67,26.67,26.67
134,26.67,26.67,26.67
135,26.67,26.67,26.67
136,26.67,26.67,26.67
137,26.67,26.67,26.67
138,26.67,26.67,26.67
139,26.67,26.67,26.67
140,26.67,26.67,26.67
141,26.67,32.58,26.67
142,26.67,26.67,26.67
143,26.67,26.67,26.67
144,26.67,26.67,26.67
145,26.67,26.67,26.67
146,26.67,26.67,26.67
147,26.67,26.67,26.67
148,26.67,26.67,26.67
149,26.67,26.67,26.67
150,26.67,26.67,26.67
