iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3
1,6.21,8.0,6.33
2,6.57,6.57,12.5
3,9.25,7.55,7.17
4,7.17,6.57,11.33
5,6.33,9.25,8.0
6,12.5,7.17,6.57
7,7.17,6.33,7.55
8,11.33,12.5,6.57
9,8.0,7.17,9.25
10,8.0,11.33,7.17
11,6.57,8.0,6.33
12,7.55,6.57,12.5
13,6.57,7.55,7.17
14,9.25,6.57,11.33
15,7.17,9.25,8.0
16,6.33,7.17,6.57
17,12.5,6.33,7.55
18,7.17,12.5,6.57
19,11.33,7.17,9.25
20,8.0,11.33,7.17
21,6.57,8.0,6.33
22,7.55,6.57,12.5
23,6.57,7.55,7.17
24,9.25,6.57,11.33
25,7.17,9.25,8.0
26,6.33,7.17,6.57
27,12.5,6.33,7.55
28,7.17,12.5,6.57
29,11.33,7.17,9.25
30,8.0,11.33,7.17
31,6.57,8.0,6.33
32,7.55,6.57,12.5
33,6.57,7.55,7.17
34,9.25,6.57,11.33
35,7.17,9.25,8.0
36,6.33,7.17,6.57
37,12.5,6.33,7.55
38,7.17,12.5,6.57
39,11.33,7.17,9.25
40,8.0,11.33,7.17
41,6.57,8.0,6.33
42,7.55,6.57,12.5
43,6.57,7.55,7.17
44,9.25,6.57,11.33
45,7.17,9.25,11.33
46,7.17,7.17,8.0
47,6.33,6.33,6.57
48,12.5,12.5,7.55
49,7.17,7.17,6.57
50,11.33,11.33,9.25
51,8.0,8.0,7.17
52,6.57,6.57,6.33
53,7.55,7.55,12.5
54,6.57,6.57,7.17
55,9.25,9.25,11.33
56,7.17,7.17,8.0
57,6.33,6.33,6.57
58,12.5,12.5,7.55
59,7.17,7.17,6.57
60,11.33,11.33,9.25
61,8.0,8.0,7.17
62,8.0,6.57,6.33
63,6.57,7.55,12.5
64,7.55,6.57,7.17
65,6.57,9.25,11.33
66,9.25,7.17,8.0
67,7.17,6.33,6.57
68,6.33,6.33,7.55
69,6.33,12.5,6.57
70,12.5,7.17,9.25
71,7.17,11.33,7.17
72,11.33,8.0,6.33
73,8.0,6.57,12.5
74,6.57,7.55,7.17
75,7.55,6.57,11.33
76,6.57,9.25,11.33
77,9.25,7.17,8.0
78,7.17,6.33,6.57
79,6.33,12.5,7.55
80,6.33,7.17,6.57
81,12.5,11.33,9.25
82,7.17,8.0,7.17
83,11.33,6.57,6.33
84,11.33,7.55,12.5
85,8.0,6.57,7.17
86,6.57,9.25,11.33
87,7.55,7.17,11.33
88,6.57,6.33,8.0
89,9.25,12.5,6.57
90,7.17,7.17,7.55
91,6.33,11.33,6.57
92,12.5,8.0,6.57
93,7.17,6.57,9.25
94,11.33,7.55,7.17
95,8.0,6.57,6.33
96,6.57,9.25,12.5
97,7.55,7.17,7.17
98,6.57,6.33,11.33
99,9.25,12.5,8.0
100,7.17,7.17,6.57
