iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness
1,-8.71,-9.67,-14.43
2,-8.71,-19.0,-8.33
3,-10.27,-9.67,-8.33
4,-7.86,-19.0,-9.67
5,-8.21,-9.77,-10.27
6,-8.71,-14.43,-13.0
7,-8.71,-11.0,-9.67
8,-8.71,-7.83,-16.33
9,-12.5,-7.83,-7.86
10,-9.17,-7.48,-8.71
11,-7.48,-7.48,-14.43
12,-19.0,-7.48,-9.15
13,-9.67,-7.83,-8.71
14,-16.33,-7.83,-9.67
15,-11.0,-7.83,-19.0
16,-10.27,-7.83,-10.27
17,-8.71,-7.48,-14.43
18,-10.27,-7.48,-10.14
19,-11.89,-7.48,-7.48
20,-9.67,-7.48,-7.83
21,-7.48,-7.48,-7.83
22,-8.33,-7.48,-7.83
23,-14.43,-7.48,-7.83
24,-13.0,-7.48,-7.83
25,-8.71,-7.48,-7.83
26,-19.0,-7.48,-7.83
27,-19.0,-7.48,-7.83
28,-14.43,-7.48,-7.83
29,-11.89,-7.48,-7.83
30,-11.0,-7.48,-7.48
31,-11.0,-7.48,-7.83
32,-11.0,-7.48,-7.83
33,-9.67,-7.48,-7.48
34,-9.67,-7.48,-7.83
35,-8.33,-7.48,-7.83
36,-8.33,-7.48,-7.48
37,-8.33,-7.48,-7.48
38,-8.33,-7.48,-7.83
39,-8.33,-7.48,-7.48
40,-8.33,-7.48,-7.48
41,-8.33,-7.48,-7.83
42,-8.33,-7.48,-7.83
43,-8.33,-7.48,-7.48
44,-8.33,-7.48,-7.48
45,-8.33,-7.48,-7.83
46,-8.33,-7.48,-7.48
47,-8.33,-7.48,-7.48
48,-8.33,-7.48,-7.83
49,-8.33,-7.48,-7.83
50,-8.33,-7.48,-7.48
51,-8.33,-7.48,-7.48
52,-8.33,-7.48,-7.83
53,-8.33,-7.48,-7.48
54,-8.33,-7.48,-7.48
55,-8.33,-7.48,-7.83
56,-8.33,-7.48,-7.83
57,-8.33,-7.48,-7.48
58,-8.33,-7.48,-7.48
59,-8.33,-7.48,-7.83
60,-8.33,-7.48,-7.48
61,-8.33,-7.48,-7.48
62,-8.33,-7.48,-7.83
63,-8.33,-7.48,-7.83
64,-8.33,-7.48,-7.48
65,-8.33,-7.48,-7.48
66,-8.33,-7.48,-7.83
67,-8.33,-7.48,-7.48
68,-8.33,-7.48,-7.48
69,-8.33,-7.48,-7.83
70,-8.33,-7.48,-7.83
71,-8.33,-7.48,-7.48
72,-8.33,-7.48,-7.48
73,-8.33,-7.48,-7.83
74,-8.33,-7.48,-7.48
75,-8.33,-7.48,-7.48
76,-8.33,-7.48,-7.83
77,-8.33,-7.48,-7.83
78,-8.33,-7.48,-7.48
79,-8.33,-7.48,-7.48
80,-8.33,-7.48,-7.83
81,-8.33,-7.48,-7.48
82,-8.33,-7.48,-7.48
83,-8.33,-7.48,-7.83
84,-8.33,-7.48,-7.83
85,-8.33,-7.48,-7.48
86,-8.33,-7.48,-7.48
87,-8.33,-7.48,-7.83
88,-8.33,-7.48,-7.48
89,-8.33,-7.48,-7.48
90,-8.33,-7.48,-7.83
91,-8.33,-7.48,-7.83
92,-8.33,-7.48,-7.48
93,-8.33,-7.48,-7.48
94,-8.33,-7.48,-7.83
95,-8.33,-7.48,-7.48
96,-8.33,-7.48,-7.48
97,-8.33,-7.48,-7.83
98,-8.33,-7.48,-7.83
99,-8.33,-7.48,-7.48
100,-8.33,-7.48,-7.48
101,-8.33,-7.48,-7.83
102,-8.33,-7.48,-7.48
103,-8.33,-7.48,-7.48
104,-8.33,-7.48,-7.83
105,-8.33,-7.48,-7.83
106,-8.33,-7.48,-7.48
107,-8.33,-7.48,-7.48
108,-8.33,-7.48,-7.83
109,-8.33,-7.48,-7.48
110,-8.33,-7.48,-7.48
111,-8.33,-7.48,-7.83
112,-8.33,-7.48,-7.83
113,-8.33,-7.48,-7.48
114,-8.33,-7.48,-7.48
115,-8.33,-7.48,-7.83
116,-8.33,-7.48,-7.48
117,-8.33,-7.48,-7.48
118,-8.33,-7.48,-7.83
119,-8.33,-7.48,-7.83
120,-8.33,-7.48,-7.48
121,-8.33,-7.48,-7.48
122,-8.33,-7.48,-7.83
123,-8.33,-7.48,-7.48
124,-8.33,-7.48,-7.48
125,-8.33,-7.48,-7.83
126,-8.33,-7.48,-7.83
127,-8.33,-7.48,-7.48
128,-8.33,-7.48,-7.48
129,-8.33,-7.48,-7.83
130,-8.33,-7.48,-7.48
131,-8.33,-7.48,-7.48
132,-8.33,-7.48,-7.83
133,-8.33,-7.48,-7.83
134,-8.33,-7.48,-7.48
135,-8.33,-7.48,-7.48
136,-8.33,-7.48,-7.83
137,-8.33,-7.48,-7.48
138,-8.33,-7.48,-7.48
139,-8.33,-7.48,-7.83
140,-8.33,-7.48,-7.83
141,-8.33,-7.48,-7.48
142,-8.33,-7.48,-7.48
143,-8.33,-7.48,-7.83
144,-8.33,-7.48,-7.48
145,-8.33,-7.48,-7.48
146,-8.33,-7.48,-7.83
147,-8.33,-7.48,-7.83
148,-8.33,-7.48,-7.48
149,-8.33,-7.48,-7.48
150,-8.33,-7.48,-7.83
