iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness
1,-30.14,-34.67,-79.0
2,-30.14,-41.0,-37.55
3,-30.14,-32.23,-37.55
4,-30.14,-32.23,-37.55
5,-30.14,-41.0,-57.29
6,-30.14,-34.67,-30.14
7,-30.14,-50.5,-37.55
8,-30.14,-30.14,-41.0
9,-30.14,-34.67,-57.29
10,-30.14,-79.0,-37.55
11,-30.14,-45.22,-50.5
12,-30.14,-79.0,-79.0
13,-30.14,-28.33,-30.14
14,-34.67,-28.33,-30.14
15,-34.67,-28.33,-66.33
16,-79.0,-28.33,-57.29
17,-79.0,-28.33,-28.33
18,-28.33,-28.33,-37.55
19,-28.33,-28.33,-32.23
20,-28.33,-28.33,-41.0
21,-28.33,-28.33,-57.29
22,-28.33,-28.33,-32.23
23,-28.33,-28.33,-30.14
24,-28.33,-28.33,-66.33
25,-28.33,-28.33,-32.23
26,-28.33,-28.33,-32.23
27,-28.33,-28.33,-66.33
28,-28.33,-28.33,-30.14
29,-28.33,-28.33,-30.14
30,-28.33,-28.33,-32.23
31,-28.33,-28.33,-28.33
32,-28.33,-28.33,-41.0
33,-28.33,-28.33,-66.33
34,-28.33,-28.33,-30.14
35,-28.33,-28.33,-34.67
36,-28.33,-28.33,-30.14
37,-28.33,-28.33,-41.0
38,-28.33,-28.33,-28.33
39,-28.33,-28.33,-28.33
40,-28.33,-28.33,-30.14
41,-28.33,-28.33,-57.29
42,-28.33,-28.33,-45.22
43,-28.33,-28.33,-28.33
44,-28.33,-28.33,-41.0
45,-28.33,-28.33,-30.14
46,-28.33,-28.33,-34.67
47,-28.33,-28.33,-34.67
48,-28.33,-28.33,-79.0
49,-28.33,-28.33,-28.33
50,-28.33,-28.33,-79.0
51,-28.33,-28.33,-66.33
52,-28.33,-28.33,-30.14
53,-28.33,-28.33,-50.5
54,-28.33,-28.33,-79.0
55,-28.33,-28.33,-28.33
56,-28.33,-28.33,-79.0
57,-28.33,-28.33,-28.33
58,-28.33,-28.33,-79.0
59,-28.33,-28.33,-28.33
60,-28.33,-28.33,-79.0
61,-28.33,-28.33,-34.67
62,-28.33,-28.33,-79.0
63,-28.33,-28.33,-79.0
64,-28.33,-28.33,-79.0
65,-28.33,-28.33,-34.67
66,-28.33,-28.33,-41.0
67,-28.33,-28.33,-30.14
68,-28.33,-28.33,-79.0
69,-28.33,-28.33,-34.67
70,-28.33,-28.33,-28.33
71,-28.33,-28.33,-79.0
72,-28.33,-28.33,-34.67
73,-28.33,-28.33,-79.0
74,-28.33,-28.33,-28.33
75,-28.33,-28.33,-79.0
76,-28.33,-28.33,-79.0
77,-28.33,-28.33,-28.33
78,-28.33,-28.33,-79.0
79,-28.33,-28.33,-34.67
80,-28.33,-28.33,-79.0
81,-28.33,-28.33,-34.67
82,-28.33,-28.33,-66.33
83,-28.33,-28.33,-34.67
84,-28.33,-28.33,-34.67
85,-28.33,-28.33,-28.33
86,-28.33,-28.33,-28.33
87,-28.33,-28.33,-34.67
88,-28.33,-28.33,-34.67
89,-28.33,-28.33,-34.67
90,-28.33,-28.33,-34.67
91,-28.33,-28.33,-34.67
92,-28.33,-28.33,-34.67
93,-28.33,-28.33,-34.67
94,-28.33,-28.33,-34.67
95,-28.33,-28.33,-28.33
96,-28.33,-28.33,-79.0
97,-28.33,-28.33,-34.67
98,-28.33,-28.33,-79.0
99,-28.33,-28.33,-34.67
100,-28.33,-28.33,-50.5
101,-28.33,-28.33,-79.0
102,-28.33,-28.33,-79.0
103,-28.33,-28.33,-28.33
104,-28.33,-28.33,-28.33
105,-28.33,-28.33,-28.33
106,-28.33,-28.33,-34.67
107,-28.33,-28.33,-79.0
108,-28.33,-28.33,-28.33
109,-28.33,-28.33,-79.0
110,-28.33,-28.33,-34.67
111,-28.33,-28.33,-34.67
112,-28.33,-28.33,-79.0
113,-28.33,-28.33,-28.33
114,-28.33,-28.33,-34.67
115,-28.33,-28.33,-28.33
116,-28.33,-28.33,-79.0
117,-28.33,-28.33,-79.0
118,-28.33,-28.33,-79.0
119,-28.33,-28.33,-79.0
120,-28.33,-28.33,-28.33
121,-28.33,-28.33,-28.33
122,-28.33,-28.33,-79.0
123,-28.33,-28.33,-79.0
124,-28.33,-28.33,-34.67
125,-28.33,-28.33,-34.67
126,-28.33,-28.33,-28.33
127,-28.33,-28.33,-79.0
128,-28.33,-28.33,-28.33
129,-28.33,-28.33,-79.0
130,-28.33,-28.33,-28.33
131,-28.33,-28.33,-79.0
132,-28.33,-28.33,-34.67
133,-28.33,-28.33,-50.5
134,-28.33,-28.33,-66.33
135,-28.33,-28.33,-79.0
136,-28.33,-28.33,-79.0
137,-28.33,-28.33,-28.33
138,-28.33,-28.33,-28.33
139,-28.33,-28.33,-28.33
140,-28.33,-28.33,-28.33
141,-28.33,-28.33,-79.0
142,-28.33,-28.33,-34.67
143,-28.33,-28.33,-50.5
144,-28.33,-28.33,-79.0
145,-28.33,-28.33,-34.67
146,-28.33,-28.33,-28.33
147,-28.33,-28.33,-28.33
148,-28.33,-28.33,-34.67
149,-28.33,-28.33,-66.33
150,-28.33,-28.33,-50.5
