iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness
1,-14.07,-14.92,-13.33
2,-22.38,-28.83,-13.33
3,-34.0,-17.09,-13.33
4,-18.0,-15.92,-13.33
5,-17.09,-34.0,-13.33
6,-13.33,-18.5,-13.33
7,-21.88,-15.92,-13.33
8,-34.0,-18.5,-13.33
9,-18.5,-14.92,-13.33
10,-15.92,-22.38,-13.33
11,-25.14,-22.38,-13.33
12,-15.92,-13.33,-13.33
13,-24.64,-13.33,-13.33
14,-28.83,-13.33,-13.33
15,-17.09,-13.33,-13.33
16,-25.14,-13.33,-13.33
17,-15.92,-13.33,-13.33
18,-18.5,-12.83,-13.33
19,-34.0,-12.83,-13.33
20,-15.92,-12.83,-13.33
21,-13.33,-12.83,-13.33
22,-14.07,-12.83,-13.33
23,-17.09,-12.83,-13.33
24,-14.92,-12.83,-13.33
25,-28.83,-12.83,-13.33
26,-28.83,-13.33,-13.33
27,-14.07,-13.33,-13.33
28,-15.92,-13.33,-13.33
29,-15.92,-12.83,-13.33
30,-22.38,-13.33,-13.33
31,-13.33,-13.33,-13.33
32,-13.33,-13.33,-13.33
33,-13.33,-13.33,-13.33
34,-14.07,-13.33,-13.33
35,-13.33,-13.33,-13.33
36,-13.33,-13.33,-13.33
37,-14.07,-13.33,-13.33
38,-14.07,-13.33,-13.33
39,-13.33,-13.33,-13.33
40,-14.07,-13.33,-13.33
41,-14.07,-13.33,-13.33
42,-13.33,-13.33,-13.33
43,-13.33,-13.33,-13.33
44,-13.33,-13.33,-13.33
45,-13.33,-13.33,-13.33
46,-14.07,-13.33,-13.33
47,-21.88,-13.33,-13.33
48,-13.33,-13.33,-13.33
49,-13.33,-13.33,-13.33
50,-13.33,-13.33,-13.33
51,-14.07,-13.33,-13.33
52,-13.33,-13.33,-13.33
53,-14.07,-13.33,-13.33
54,-13.33,-13.33,-13.33
55,-13.33,-13.33,-13.33
56,-14.07,-13.33,-13.33
57,-13.33,-13.33,-13.33
58,-13.33,-13.33,-13.33
59,-13.33,-13.33,-13.33
60,-14.07,-13.33,-13.33
61,-13.33,-13.33,-13.33
62,-13.33,-13.33,-13.33
63,-13.33,-13.33,-13.33
64,-13.33,-13.33,-13.33
65,-13.33,-13.33,-13.33
66,-14.07,-13.33,-13.33
67,-14.07,-13.33,-13.33
68,-13.33,-13.33,-13.33
69,-13.33,-13.33,-13.33
70,-13.33,-13.33,-13.33
71,-14.07,-13.33,-13.33
72,-13.33,-13.33,-13.33
73,-22.38,-13.33,-13.33
74,-22.38,-13.33,-13.33
75,-13.33,-13.33,-13.33
76,-14.07,-13.33,-13.33
77,-13.33,-13.33,-13.33
78,-13.33,-13.33,-13.33
79,-14.07,-13.33,-13.33
80,-13.33,-13.33,-13.33
81,-13.33,-13.33,-13.33
82,-14.07,-13.33,-13.33
83,-14.07,-13.33,-13.33
84,-13.33,-13.33,-13.33
85,-14.07,-13.33,-13.33
86,-14.07,-13.33,-13.33
87,-14.07,-13.33,-13.33
88,-13.33,-13.33,-13.33
89,-13.33,-13.33,-13.33
90,-22.38,-13.33,-13.33
91,-13.33,-13.33,-13.33
92,-13.33,-13.33,-13.33
93,-14.07,-13.33,-13.33
94,-14.07,-13.33,-13.33
95,-14.07,-13.33,-13.33
96,-14.07,-13.33,-13.33
97,-14.07,-13.33,-13.33
98,-14.07,-13.33,-13.33
99,-13.33,-13.33,-13.33
100,-13.33,-13.33,-13.33
101,-14.07,-13.33,-13.33
102,-13.33,-13.33,-13.33
103,-13.33,-13.33,-13.33
104,-14.07,-13.33,-13.33
105,-13.33,-13.33,-13.33
106,-22.38,-13.33,-13.33
107,-13.33,-13.33,-13.33
108,-13.33,-13.33,-13.33
109,-13.33,-13.33,-13.33
110,-13.33,-13.33,-13.33
111,-14.07,-13.33,-13.33
112,-14.07,-13.33,-13.33
113,-14.07,-13.33,-13.33
114,-13.33,-13.33,-13.33
115,-13.33,-13.33,-13.33
116,-13.33,-13.33,-13.33
117,-14.07,-13.33,-13.33
118,-13.33,-13.33,-13.33
119,-13.33,-13.33,-13.33
120,-13.33,-13.33,-13.33
121,-13.33,-13.33,-13.33
122,-13.33,-13.33,-13.33
123,-13.33,-13.33,-13.33
124,-13.33,-13.33,-13.33
125,-14.07,-13.33,-13.33
126,-22.38,-13.33,-13.33
127,-22.38,-13.33,-13.33
128,-13.33,-13.33,-13.33
129,-14.07,-13.33,-13.33
130,-13.33,-13.33,-13.33
131,-14.07,-13.33,-13.33
132,-14.07,-13.33,-13.33
133,-14.07,-13.33,-13.33
134,-14.07,-13.33,-13.33
135,-13.33,-13.33,-13.33
136,-14.07,-13.33,-13.33
137,-13.33,-13.33,-13.33
138,-13.33,-13.33,-13.33
139,-14.07,-13.33,-13.33
140,-22.38,-13.33,-13.33
141,-13.33,-13.33,-13.33
142,-13.33,-13.33,-13.33
143,-13.33,-13.33,-13.33
144,-14.07,-13.33,-13.33
145,-13.33,-13.33,-13.33
146,-13.33,-13.33,-13.33
147,-14.07,-13.33,-13.33
148,-13.33,-13.33,-13.33
149,-14.07,-13.33,-13.33
150,-13.33,-13.33,-13.33
