iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness
1,-6.93,-9.11,-6.73
2,-7.0,-8.0,-7.58
3,-6.93,-6.93,-7.58
4,-9.38,-7.14,-6.73
5,-7.58,-7.64,-6.73
6,-7.58,-12.17,-7.58
7,-7.08,-6.73,-6.73
8,-7.08,-14.0,-7.58
9,-6.73,-6.67,-5.67
10,-5.33,-5.81,-6.17
11,-5.81,-6.67,-5.81
12,-5.81,-6.67,-6.67
13,-5.81,-6.67,-6.67
14,-5.81,-6.67,-5.81
15,-5.81,-6.67,-5.54
16,-5.81,-6.67,-6.67
17,-5.54,-6.67,-5.81
18,-5.54,-6.67,-6.67
19,-5.81,-6.67,-6.67
20,-5.81,-6.67,-6.67
21,-5.81,-5.81,-6.67
22,-5.81,-5.81,-6.67
23,-5.81,-5.81,-6.67
24,-5.81,-5.81,-6.67
25,-5.81,-5.81,-5.81
26,-5.81,-5.81,-5.81
27,-5.81,-5.81,-5.81
28,-5.81,-5.81,-5.81
29,-5.81,-5.81,-5.81
30,-5.81,-5.81,-5.81
31,-5.81,-5.81,-5.81
32,-5.81,-5.81,-5.81
33,-5.81,-5.81,-5.81
34,-5.81,-5.81,-5.81
35,-5.81,-5.81,-5.81
36,-5.81,-5.81,-5.81
37,-5.81,-5.81,-5.81
38,-5.81,-5.81,-5.81
39,-5.81,-5.81,-5.81
40,-5.81,-5.81,-5.81
41,-5.81,-5.81,-5.81
42,-5.81,-5.81,-5.81
43,-5.81,-5.81,-5.81
44,-5.81,-5.81,-5.81
45,-5.81,-5.81,-5.81
46,-5.81,-5.81,-5.81
47,-5.81,-5.81,-5.81
48,-5.81,-5.81,-5.81
49,-5.81,-5.81,-5.81
50,-5.81,-5.81,-5.81
51,-5.81,-5.81,-5.81
52,-5.81,-5.81,-5.81
53,-5.81,-5.81,-5.81
54,-5.81,-5.81,-5.81
55,-5.81,-5.81,-5.81
56,-5.81,-5.81,-5.81
57,-5.81,-5.81,-5.81
58,-5.81,-5.81,-5.81
59,-5.81,-5.81,-5.81
60,-5.81,-5.81,-5.81
61,-5.81,-5.81,-5.81
62,-5.81,-5.81,-5.81
63,-5.81,-5.81,-5.81
64,-5.81,-5.81,-5.81
65,-5.81,-5.81,-5.81
66,-5.81,-5.81,-5.81
67,-5.81,-5.81,-5.81
68,-5.81,-5.81,-5.81
69,-5.81,-5.81,-5.81
70,-5.81,-5.81,-5.81
71,-5.81,-5.81,-5.81
72,-5.81,-5.81,-5.81
73,-5.81,-5.81,-5.81
74,-5.81,-5.81,-5.81
75,-5.81,-5.81,-5.81
76,-5.81,-5.81,-5.81
77,-5.81,-5.81,-5.81
78,-5.81,-5.81,-5.81
79,-5.81,-5.81,-5.81
80,-5.81,-5.81,-5.81
81,-5.81,-5.81,-5.81
82,-5.81,-5.81,-5.81
83,-5.81,-5.81,-5.81
84,-5.81,-5.81,-5.81
85,-5.81,-5.81,-5.81
86,-5.81,-5.81,-5.81
87,-5.81,-5.81,-5.81
88,-5.81,-5.81,-5.81
89,-5.81,-5.81,-5.81
90,-5.81,-5.81,-5.81
91,-5.81,-5.81,-5.81
92,-5.81,-5.81,-5.81
93,-5.81,-5.81,-5.81
94,-5.81,-5.81,-5.81
95,-5.81,-5.81,-5.81
96,-5.81,-5.81,-5.81
97,-5.81,-5.81,-5.81
98,-5.81,-5.81,-5.81
99,-5.81,-5.81,-5.81
100,-5.81,-5.81,-5.81
101,-5.81,-5.81,-5.81
102,-5.81,-5.81,-5.81
103,-5.81,-5.81,-5.81
104,-5.81,-5.81,-5.81
105,-5.81,-5.81,-5.81
106,-5.81,-5.81,-5.81
107,-5.81,-5.81,-5.81
108,-5.81,-5.81,-5.81
109,-5.81,-5.81,-5.81
110,-5.81,-5.81,-5.81
111,-5.81,-5.81,-5.81
112,-5.81,-5.81,-5.81
113,-5.81,-5.81,-5.81
114,-5.81,-5.81,-5.81
115,-5.81,-5.81,-5.81
116,-5.81,-5.81,-5.81
117,-5.81,-5.81,-5.81
118,-5.81,-5.81,-5.81
119,-5.81,-5.81,-5.81
120,-5.81,-5.81,-5.81
121,-5.81,-5.81,-5.81
122,-5.81,-5.81,-5.81
123,-5.81,-5.81,-5.81
124,-5.81,-5.81,-5.81
125,-5.81,-5.81,-5.81
126,-5.81,-5.81,-5.81
127,-5.81,-5.81,-5.81
128,-5.81,-5.81,-5.81
129,-5.81,-5.81,-5.81
130,-5.81,-5.81,-5.81
131,-5.81,-5.81,-5.81
132,-5.81,-5.81,-5.81
133,-5.81,-5.81,-5.81
134,-5.81,-5.81,-5.81
135,-5.81,-5.81,-5.81
136,-5.81,-5.81,-5.81
137,-5.81,-5.81,-5.81
138,-5.81,-5.81,-5.81
139,-5.81,-5.81,-5.81
140,-5.81,-5.81,-5.81
141,-5.81,-5.81,-5.81
142,-5.81,-5.81,-5.81
143,-5.81,-5.81,-5.81
144,-5.81,-5.81,-5.81
145,-5.81,-5.81,-5.81
146,-5.81,-5.81,-5.81
147,-5.81,-5.81,-5.81
148,-5.81,-5.81,-5.81
149,-5.81,-5.81,-5.81
150,-5.81,-5.81,-5.81
