iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3
1,30.14,41.0,37.55
2,30.14,32.23,37.55
3,30.14,32.23,37.55
4,30.14,41.0,57.29
5,30.14,34.67,30.14
6,30.14,50.5,37.55
7,30.14,30.14,41.0
8,30.14,34.67,57.29
9,30.14,79.0,37.55
10,30.14,45.22,50.5
11,30.14,79.0,79.0
12,30.14,28.33,30.14
13,34.67,28.33,30.14
14,34.67,28.33,66.33
15,79.0,28.33,57.29
16,79.0,28.33,28.33
17,28.33,28.33,37.55
18,28.33,28.33,32.23
19,28.33,28.33,41.0
20,28.33,28.33,57.29
21,28.33,28.33,32.23
22,28.33,28.33,30.14
23,28.33,28.33,66.33
24,28.33,28.33,32.23
25,28.33,28.33,32.23
26,28.33,28.33,66.33
27,28.33,28.33,30.14
28,28.33,28.33,30.14
29,28.33,28.33,32.23
30,28.33,28.33,28.33
31,28.33,28.33,41.0
32,28.33,28.33,66.33
33,28.33,28.33,30.14
34,28.33,28.33,34.67
35,28.33,28.33,30.14
36,28.33,28.33,41.0
37,28.33,28.33,28.33
38,28.33,28.33,28.33
39,28.33,28.33,30.14
40,28.33,28.33,57.29
41,28.33,28.33,45.22
42,28.33,28.33,28.33
43,28.33,28.33,41.0
44,28.33,28.33,30.14
45,28.33,28.33,34.67
46,28.33,28.33,34.67
47,28.33,28.33,79.0
48,28.33,28.33,28.33
49,28.33,28.33,79.0
50,28.33,28.33,66.33
51,28.33,28.33,30.14
52,28.33,28.33,50.5
53,28.33,28.33,79.0
54,28.33,28.33,28.33
55,28.33,28.33,79.0
56,28.33,28.33,28.33
57,28.33,28.33,79.0
58,28.33,28.33,28.33
59,28.33,28.33,79.0
60,28.33,28.33,34.67
61,28.33,28.33,79.0
62,28.33,28.33,79.0
63,28.33,28.33,79.0
64,28.33,28.33,34.67
65,28.33,28.33,41.0
66,28.33,28.33,30.14
67,28.33,28.33,79.0
68,28.33,28.33,34.67
69,28.33,28.33,28.33
70,28.33,28.33,79.0
71,28.33,28.33,34.67
72,28.33,28.33,79.0
73,28.33,28.33,28.33
74,28.33,28.33,79.0
75,28.33,28.33,79.0
76,28.33,28.33,28.33
77,28.33,28.33,79.0
78,28.33,28.33,34.67
79,28.33,28.33,79.0
80,28.33,28.33,34.67
81,28.33,28.33,66.33
82,28.33,28.33,34.67
83,28.33,28.33,34.67
84,28.33,28.33,28.33
85,28.33,28.33,28.33
86,28.33,28.33,34.67
87,28.33,28.33,34.67
88,28.33,28.33,34.67
89,28.33,28.33,34.67
90,28.33,28.33,34.67
91,28.33,28.33,34.67
92,28.33,28.33,34.67
93,28.33,28.33,34.67
94,28.33,28.33,28.33
95,28.33,28.33,79.0
96,28.33,28.33,34.67
97,28.33,28.33,79.0
98,28.33,28.33,34.67
99,28.33,28.33,50.5
100,28.33,28.33,79.0
101,28.33,28.33,79.0
102,28.33,28.33,28.33
103,28.33,28.33,28.33
104,28.33,28.33,28.33
105,28.33,28.33,34.67
106,28.33,28.33,79.0
107,28.33,28.33,28.33
108,28.33,28.33,79.0
109,28.33,28.33,34.67
110,28.33,28.33,34.67
111,28.33,28.33,79.0
112,28.33,28.33,28.33
113,28.33,28.33,34.67
114,28.33,28.33,28.33
115,28.33,28.33,79.0
116,28.33,28.33,79.0
117,28.33,28.33,79.0
118,28.33,28.33,79.0
119,28.33,28.33,28.33
120,28.33,28.33,28.33
121,28.33,28.33,79.0
122,28.33,28.33,79.0
123,28.33,28.33,34.67
124,28.33,28.33,34.67
125,28.33,28.33,28.33
126,28.33,28.33,79.0
127,28.33,28.33,28.33
128,28.33,28.33,79.0
129,28.33,28.33,28.33
130,28.33,28.33,79.0
131,28.33,28.33,34.67
132,28.33,28.33,50.5
133,28.33,28.33,66.33
134,28.33,28.33,79.0
135,28.33,28.33,79.0
136,28.33,28.33,28.33
137,28.33,28.33,28.33
138,28.33,28.33,28.33
139,28.33,28.33,28.33
140,28.33,28.33,79.0
141,28.33,28.33,34.67
142,28.33,28.33,50.5
143,28.33,28.33,79.0
144,28.33,28.33,34.67
145,28.33,28.33,28.33
146,28.33,28.33,28.33
147,28.33,28.33,34.67
148,28.33,28.33,66.33
149,28.33,28.33,50.5
150,28.33,28.33,66.33
