iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3
1,51.0,35.0,71.57
2,63.0,35.0,63.0
3,43.0,35.0,71.57
4,71.57,35.0,43.0
5,71.57,35.0,99.0
6,99.0,35.0,71.57
7,37.29,35.0,43.0
8,83.0,35.0,71.57
9,39.92,35.0,51.0
10,37.29,35.0,37.29
11,71.57,35.0,51.0
12,35.0,35.0,37.29
13,83.0,35.0,35.0
14,35.0,35.0,35.0
15,37.29,35.0,43.0
16,99.0,35.0,99.0
17,51.0,35.0,99.0
18,99.0,35.0,99.0
19,51.0,35.0,35.0
20,83.0,35.0,35.0
21,56.33,35.0,35.0
22,43.0,35.0,35.0
23,83.0,35.0,35.0
24,35.0,35.0,35.0
25,39.92,35.0,35.0
26,71.57,35.0,35.0
27,35.0,35.0,35.0
28,37.29,35.0,35.0
29,35.0,35.0,35.0
30,43.0,35.0,35.0
31,51.0,35.0,35.0
32,43.0,35.0,35.0
33,51.0,35.0,35.0
34,43.0,35.0,35.0
35,51.0,35.0,35.0
36,43.0,35.0,35.0
37,51.0,35.0,35.0
38,46.64,35.0,35.0
39,46.64,35.0,35.0
40,35.0,35.0,35.0
41,43.0,35.0,35.0
42,51.0,35.0,35.0
43,51.0,35.0,35.0
44,99.0,35.0,35.0
45,43.0,35.0,35.0
46,99.0,35.0,35.0
47,51.0,35.0,35.0
48,51.0,35.0,35.0
49,51.0,35.0,35.0
50,99.0,35.0,35.0
51,35.0,35.0,35.0
52,99.0,35.0,35.0
53,35.0,35.0,35.0
54,35.0,35.0,35.0
55,35.0,35.0,35.0
56,35.0,35.0,35.0
57,35.0,35.0,35.0
58,99.0,35.0,35.0
59,43.0,35.0,35.0
60,99.0,35.0,35.0
61,99.0,35.0,35.0
62,99.0,35.0,35.0
63,35.0,35.0,35.0
64,35.0,35.0,35.0
65,99.0,35.0,35.0
66,35.0,35.0,35.0
67,99.0,35.0,35.0
68,51.0,35.0,35.0
69,99.0,35.0,35.0
70,99.0,35.0,35.0
71,99.0,35.0,35.0
72,99.0,35.0,35.0
73,99.0,35.0,35.0
74,99.0,35.0,35.0
75,99.0,35.0,35.0
76,35.0,35.0,35.0
77,99.0,35.0,35.0
78,35.0,35.0,35.0
79,99.0,35.0,35.0
80,35.0,35.0,35.0
81,35.0,35.0,35.0
82,99.0,35.0,35.0
83,43.0,35.0,35.0
84,99.0,35.0,35.0
85,35.0,35.0,35.0
86,99.0,35.0,35.0
87,35.0,35.0,35.0
88,99.0,35.0,35.0
89,43.0,35.0,35.0
90,51.0,35.0,35.0
91,51.0,35.0,35.0
92,35.0,35.0,35.0
93,35.0,35.0,35.0
94,99.0,35.0,35.0
95,51.0,35.0,35.0
96,51.0,35.0,35.0
97,35.0,35.0,35.0
98,43.0,35.0,35.0
99,35.0,35.0,35.0
100,99.0,35.0,35.0
101,99.0,35.0,35.0
102,51.0,35.0,35.0
103,35.0,35.0,35.0
104,51.0,35.0,35.0
105,35.0,35.0,35.0
106,35.0,35.0,35.0
107,99.0,35.0,35.0
108,99.0,35.0,35.0
109,99.0,35.0,35.0
110,99.0,35.0,35.0
111,35.0,35.0,35.0
112,99.0,35.0,35.0
113,35.0,35.0,35.0
114,99.0,35.0,35.0
115,99.0,35.0,35.0
116,35.0,35.0,35.0
117,35.0,35.0,35.0
118,99.0,35.0,35.0
119,35.0,35.0,35.0
120,99.0,35.0,35.0
121,35.0,35.0,35.0
122,99.0,35.0,35.0
123,43.0,35.0,35.0
124,51.0,35.0,35.0
125,51.0,35.0,35.0
126,43.0,35.0,35.0
127,99.0,35.0,35.0
128,35.0,35.0,35.0
129,35.0,35.0,35.0
130,99.0,35.0,35.0
131,99.0,35.0,35.0
132,51.0,35.0,35.0
133,35.0,35.0,35.0
134,43.0,35.0,35.0
135,35.0,35.0,35.0
136,35.0,35.0,35.0
137,99.0,35.0,35.0
138,43.0,35.0,35.0
139,35.0,35.0,35.0
140,99.0,35.0,35.0
141,99.0,35.0,35.0
142,35.0,35.0,35.0
143,99.0,35.0,35.0
144,99.0,35.0,35.0
145,99.0,35.0,35.0
146,51.0,35.0,35.0
147,35.0,35.0,35.0
148,43.0,35.0,35.0
149,99.0,35.0,35.0
150,99.0,35.0,35.0
