iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness
1,-4.02,-4.02,-3.98
2,-5.73,-5.23,-4.23
3,-5.14,-4.39,-4.23
4,-6.75,-4.39,-4.6
5,-5.0,-4.6,-4.23
6,-4.5,-4.39,-4.6
7,-8.5,-4.39,-4.6
8,-4.0,-4.6,-4.23
9,-6.36,-4.39,-4.6
10,-4.67,-4.6,-4.6
11,-4.39,-4.6,-4.6
12,-3.64,-3.81,-4.02
13,-3.64,-3.64,-3.64
14,-3.64,-5.14,-4.14
15,-3.64,-3.51,-5.14
16,-3.64,-3.51,-4.64
17,-3.64,-3.64,-3.64
18,-3.64,-3.64,-3.64
19,-3.64,-3.64,-3.64
20,-3.64,-3.64,-3.64
21,-3.64,-3.64,-3.64
22,-3.64,-3.64,-3.64
23,-3.64,-3.64,-3.64
24,-3.64,-3.64,-3.64
25,-3.64,-3.64,-3.64
26,-3.64,-3.64,-3.64
27,-3.64,-3.64,-3.64
28,-3.64,-3.64,-3.64
29,-3.64,-3.64,-3.64
30,-3.64,-3.64,-3.64
31,-3.64,-3.64,-3.64
32,-3.64,-3.64,-3.64
33,-3.64,-3.64,-3.64
34,-3.64,-3.64,-3.64
35,-3.64,-3.64,-3.64
36,-3.64,-3.64,-3.64
37,-3.64,-3.64,-3.64
38,-3.64,-3.64,-3.64
39,-3.64,-3.64,-3.64
40,-3.64,-3.64,-3.64
41,-3.64,-3.64,-3.64
42,-3.64,-3.64,-3.64
43,-3.64,-3.64,-3.64
44,-3.64,-3.64,-3.64
45,-3.64,-3.64,-3.64
46,-3.64,-3.64,-3.64
47,-3.64,-3.64,-3.64
48,-3.64,-3.64,-3.64
49,-3.64,-3.64,-3.64
50,-3.64,-3.64,-3.64
51,-3.64,-3.64,-3.64
52,-3.64,-3.64,-3.64
53,-3.64,-3.64,-3.64
54,-3.64,-3.64,-3.64
55,-3.64,-3.64,-3.64
56,-3.64,-3.64,-3.64
57,-3.64,-3.64,-3.64
58,-3.64,-3.64,-3.64
59,-3.64,-3.64,-3.64
60,-3.64,-3.64,-3.64
61,-3.64,-3.64,-3.64
62,-3.64,-3.64,-3.64
63,-3.64,-3.64,-3.64
64,-3.64,-3.64,-3.64
65,-3.64,-3.64,-3.64
66,-3.64,-3.64,-3.64
67,-3.64,-3.64,-3.64
68,-3.64,-3.64,-3.64
69,-3.64,-3.64,-3.64
70,-3.64,-3.64,-3.64
71,-3.64,-3.64,-3.64
72,-3.64,-3.64,-3.64
73,-3.64,-3.64,-3.64
74,-3.64,-3.64,-3.64
75,-3.64,-3.64,-3.64
76,-3.64,-3.64,-3.64
77,-3.64,-3.64,-3.64
78,-3.64,-3.64,-3.64
79,-3.64,-3.64,-3.64
80,-3.64,-3.64,-3.64
81,-3.64,-3.64,-3.64
82,-3.64,-3.64,-3.64
83,-3.64,-3.64,-3.64
84,-3.64,-3.64,-3.64
85,-3.64,-3.64,-3.64
86,-3.64,-3.64,-3.64
87,-3.64,-3.64,-3.64
88,-3.64,-3.64,-3.64
89,-3.64,-3.64,-3.64
90,-3.64,-3.64,-3.64
91,-3.64,-3.64,-3.64
92,-3.64,-3.64,-3.64
93,-3.64,-3.64,-3.64
94,-3.64,-3.64,-3.64
95,-3.64,-3.64,-3.64
96,-3.64,-3.64,-3.64
97,-3.64,-3.64,-3.64
98,-3.64,-3.64,-3.64
99,-3.64,-3.64,-3.64
100,-3.64,-3.64,-3.64
101,-3.64,-3.64,-3.64
102,-3.64,-3.64,-3.64
103,-3.64,-3.64,-3.64
104,-3.64,-3.64,-3.64
105,-3.64,-3.64,-3.64
106,-3.64,-3.64,-3.64
107,-3.64,-3.64,-3.64
108,-3.64,-3.64,-3.64
109,-3.64,-3.64,-3.64
110,-3.64,-3.64,-3.64
111,-3.64,-3.64,-3.64
112,-3.64,-3.64,-3.64
113,-3.64,-3.64,-3.64
114,-3.64,-3.64,-3.64
115,-3.64,-3.64,-3.64
116,-3.64,-3.64,-3.64
117,-3.64,-3.64,-3.64
118,-3.64,-3.64,-3.64
119,-3.64,-3.64,-3.64
120,-3.64,-3.64,-3.64
121,-3.64,-3.64,-3.64
122,-3.64,-3.64,-3.64
123,-3.64,-3.64,-3.64
124,-3.64,-3.64,-3.64
125,-3.64,-3.64,-3.64
126,-3.64,-3.64,-3.64
127,-3.64,-3.64,-3.64
128,-3.64,-3.64,-3.64
129,-3.64,-3.64,-3.64
130,-3.64,-3.64,-3.64
131,-3.64,-3.64,-3.64
132,-3.64,-3.64,-3.64
133,-3.64,-3.64,-3.64
134,-3.64,-3.64,-3.64
135,-3.64,-3.64,-3.64
136,-3.64,-3.64,-3.64
137,-3.64,-3.64,-3.64
138,-3.64,-3.64,-3.64
139,-3.64,-3.64,-3.64
140,-3.64,-3.64,-3.64
141,-3.64,-3.64,-3.64
142,-3.64,-3.64,-3.64
143,-3.64,-3.64,-3.64
144,-3.64,-3.64,-3.64
145,-3.64,-3.64,-3.64
146,-3.64,-3.64,-3.64
147,-3.64,-3.64,-3.64
148,-3.64,-3.64,-3.64
149,-3.64,-3.64,-3.64
150,-3.64,-3.64,-3.64
