iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3
1,5.5,5.33,5.5
2,6.18,8.88,7.38
3,5.5,5.5,5.92
4,7.38,6.18,5.33
5,5.92,5.5,5.33
6,5.33,7.38,8.88
7,8.88,5.92,5.5
8,5.5,5.33,6.18
9,6.18,8.88,5.5
10,5.5,5.5,7.38
11,7.38,6.18,5.92
12,5.92,5.5,5.33
13,5.33,7.38,8.88
14,8.88,5.92,5.5
15,5.5,5.33,6.18
16,6.18,8.88,5.5
17,5.5,5.5,7.38
18,7.38,6.18,5.92
19,7.38,5.5,5.33
20,5.92,7.38,5.33
21,5.92,5.92,8.88
22,5.33,5.33,5.5
23,8.88,8.88,6.18
24,5.5,5.5,5.5
25,6.18,6.18,7.38
26,5.5,5.5,5.92
27,7.38,5.5,5.33
28,5.92,7.38,8.88
29,5.33,5.92,5.5
30,8.88,5.33,6.18
31,5.5,8.88,5.5
32,6.18,8.88,7.38
33,5.5,5.5,5.92
34,7.38,6.18,5.33
35,7.38,5.5,8.88
36,5.92,7.38,5.5
37,5.33,5.92,6.18
38,8.88,5.33,5.5
39,5.5,8.88,7.38
40,6.18,5.5,5.92
41,5.5,6.18,5.33
42,7.38,5.5,8.88
43,7.38,7.38,5.5
44,5.92,5.92,6.18
45,5.33,5.33,5.5
46,8.88,8.88,7.38
47,5.5,5.5,5.92
48,6.18,6.18,5.33
49,5.5,5.5,8.88
50,7.38,7.38,8.88
51,5.92,5.92,8.88
52,5.33,5.33,5.5
53,8.88,8.88,6.18
54,5.5,5.5,5.5
55,6.18,6.18,7.38
56,5.5,5.5,5.92
57,7.38,7.38,5.33
58,5.92,5.92,8.88
59,5.33,5.33,5.5
60,8.88,8.88,6.18
61,5.5,5.5,5.5
62,6.18,6.18,7.38
63,5.5,5.5,5.92
64,7.38,7.38,5.33
65,5.92,5.92,8.88
66,5.33,5.33,5.5
67,8.88,8.88,6.18
68,5.5,5.5,5.5
69,5.5,6.18,7.38
70,6.18,5.5,5.92
71,5.5,7.38,5.33
72,7.38,5.92,8.88
73,5.92,5.33,5.5
74,5.33,8.88,6.18
75,8.88,5.5,5.5
76,5.5,6.18,7.38
77,6.18,5.5,5.92
78,5.5,5.5,5.33
79,7.38,5.5,8.88
80,5.92,7.38,5.5
81,5.33,5.92,6.18
82,8.88,5.33,5.5
83,5.5,8.88,7.38
84,6.18,5.5,5.92
85,5.5,6.18,5.33
86,7.38,5.5,8.88
87,5.92,7.38,5.5
88,5.33,5.92,6.18
89,8.88,5.33,5.5
90,8.88,8.88,7.38
91,5.5,5.5,5.92
92,6.18,6.18,5.33
93,5.5,5.5,8.88
94,7.38,7.38,5.5
95,5.92,5.92,6.18
96,5.33,5.33,5.5
97,8.88,8.88,7.38
98,5.5,5.5,5.92
99,6.18,5.5,5.33
100,5.5,6.18,8.88
