iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3
1,58.0,70.22,43.33
2,63.5,49.54,43.33
3,89.43,103.83,43.33
4,53.42,58.0,43.33
5,43.33,49.54,43.33
6,103.83,53.42,43.33
7,63.5,124.0,43.33
8,49.54,58.0,43.33
9,43.33,63.5,43.33
10,58.0,49.54,43.33
11,58.0,103.83,43.33
12,124.0,124.0,43.33
13,46.21,89.43,43.33
14,53.42,78.62,43.33
15,63.5,58.0,43.33
16,124.0,43.33,43.33
17,53.42,46.21,43.33
18,46.21,53.42,43.33
19,46.21,103.83,43.33
20,78.62,53.42,43.33
21,46.21,46.21,43.33
22,103.83,78.62,43.33
23,43.33,46.21,43.33
24,43.33,43.33,43.33
25,43.33,43.33,43.33
26,43.33,43.33,43.33
27,89.43,89.43,43.33
28,89.43,89.43,43.33
29,58.0,89.43,43.33
30,43.33,89.43,43.33
31,89.43,46.21,43.33
32,89.43,46.21,43.33
33,43.33,43.33,43.33
34,89.43,89.43,43.33
35,89.43,89.43,43.33
36,89.43,46.21,43.33
37,58.0,46.21,43.33
38,46.21,58.0,43.33
39,89.43,43.33,43.33
40,58.0,43.33,43.33
41,46.21,43.33,43.33
42,43.33,89.43,43.33
43,89.43,43.33,43.33
44,43.33,43.33,43.33
45,89.43,89.43,43.33
46,43.33,46.21,43.33
47,58.0,89.43,43.33
48,46.21,46.21,43.33
49,89.43,89.43,43.33
50,89.43,43.33,43.33
51,58.0,43.33,43.33
52,46.21,43.33,43.33
53,43.33,43.33,43.33
54,43.33,43.33,43.33
55,89.43,43.33,43.33
56,58.0,43.33,43.33
57,89.43,43.33,43.33
58,46.21,43.33,43.33
59,89.43,43.33,43.33
60,89.43,43.33,43.33
61,89.43,43.33,43.33
62,43.33,89.43,43.33
63,89.43,46.21,43.33
64,89.43,43.33,43.33
65,89.43,89.43,43.33
66,89.43,43.33,43.33
67,89.43,43.33,43.33
68,58.0,43.33,43.33
69,43.33,43.33,43.33
70,89.43,89.43,43.33
71,43.33,43.33,43.33
72,58.0,43.33,43.33
73,43.33,43.33,43.33
74,43.33,43.33,43.33
75,89.43,43.33,43.33
76,46.21,43.33,43.33
77,58.0,43.33,43.33
78,89.43,43.33,43.33
79,89.43,43.33,43.33
80,46.21,89.43,43.33
81,89.43,89.43,43.33
82,89.43,43.33,43.33
83,58.0,43.33,43.33
84,58.0,43.33,43.33
85,46.21,43.33,43.33
86,43.33,43.33,43.33
87,89.43,43.33,43.33
88,58.0,43.33,43.33
89,46.21,89.43,43.33
90,89.43,89.43,43.33
91,89.43,46.21,43.33
92,89.43,89.43,43.33
93,46.21,89.43,43.33
94,43.33,46.21,43.33
95,58.0,89.43,43.33
96,58.0,43.33,43.33
97,46.21,43.33,43.33
98,43.33,43.33,43.33
99,43.33,43.33,43.33
100,89.43,43.33,43.33
101,43.33,43.33,43.33
102,43.33,43.33,43.33
103,89.43,43.33,43.33
104,46.21,43.33,43.33
105,43.33,43.33,43.33
106,43.33,43.33,43.33
107,43.33,43.33,43.33
108,58.0,43.33,43.33
109,89.43,43.33,43.33
110,43.33,43.33,43.33
111,89.43,43.33,43.33
112,43.33,43.33,43.33
113,43.33,43.33,43.33
114,89.43,43.33,43.33
115,89.43,43.33,43.33
116,89.43,43.33,43.33
117,58.0,43.33,43.33
118,89.43,43.33,43.33
119,89.43,43.33,43.33
120,89.43,43.33,43.33
121,43.33,43.33,43.33
122,58.0,43.33,43.33
123,43.33,43.33,43.33
124,58.0,89.43,43.33
125,43.33,89.43,43.33
126,89.43,43.33,43.33
127,89.43,43.33,43.33
128,58.0,89.43,43.33
129,58.0,89.43,43.33
130,43.33,43.33,43.33
131,43.33,43.33,43.33
132,43.33,43.33,43.33
133,43.33,43.33,43.33
134,58.0,43.33,43.33
135,43.33,89.43,43.33
136,58.0,89.43,43.33
137,43.33,46.21,43.33
138,43.33,43.33,43.33
139,43.33,43.33,43.33
140,89.43,43.33,43.33
141,89.43,43.33,43.33
142,43.33,43.33,43.33
143,43.33,43.33,43.33
144,43.33,43.33,43.33
145,58.0,43.33,43.33
146,46.21,89.43,43.33
147,89.43,43.33,43.33
148,43.33,43.33,43.33
149,89.43,43.33,43.33
150,43.33,43.33,43.33
