iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness
1,-37.29,-35.0,-46.64
2,-51.0,-35.0,-71.57
3,-63.0,-35.0,-63.0
4,-43.0,-35.0,-71.57
5,-71.57,-35.0,-43.0
6,-71.57,-35.0,-99.0
7,-99.0,-35.0,-71.57
8,-37.29,-35.0,-43.0
9,-83.0,-35.0,-71.57
10,-39.92,-35.0,-51.0
11,-37.29,-35.0,-37.29
12,-71.57,-35.0,-51.0
13,-35.0,-35.0,-37.29
14,-83.0,-35.0,-35.0
15,-35.0,-35.0,-35.0
16,-37.29,-35.0,-43.0
17,-99.0,-35.0,-99.0
18,-51.0,-35.0,-99.0
19,-99.0,-35.0,-99.0
20,-51.0,-35.0,-35.0
21,-83.0,-35.0,-35.0
22,-56.33,-35.0,-35.0
23,-43.0,-35.0,-35.0
24,-83.0,-35.0,-35.0
25,-35.0,-35.0,-35.0
26,-39.92,-35.0,-35.0
27,-71.57,-35.0,-35.0
28,-35.0,-35.0,-35.0
29,-37.29,-35.0,-35.0
30,-35.0,-35.0,-35.0
31,-43.0,-35.0,-35.0
32,-51.0,-35.0,-35.0
33,-43.0,-35.0,-35.0
34,-51.0,-35.0,-35.0
35,-43.0,-35.0,-35.0
36,-51.0,-35.0,-35.0
37,-43.0,-35.0,-35.0
38,-51.0,-35.0,-35.0
39,-46.64,-35.0,-35.0
40,-46.64,-35.0,-35.0
41,-35.0,-35.0,-35.0
42,-43.0,-35.0,-35.0
43,-51.0,-35.0,-35.0
44,-51.0,-35.0,-35.0
45,-99.0,-35.0,-35.0
46,-43.0,-35.0,-35.0
47,-99.0,-35.0,-35.0
48,-51.0,-35.0,-35.0
49,-51.0,-35.0,-35.0
50,-51.0,-35.0,-35.0
51,-99.0,-35.0,-35.0
52,-35.0,-35.0,-35.0
53,-99.0,-35.0,-35.0
54,-35.0,-35.0,-35.0
55,-35.0,-35.0,-35.0
56,-35.0,-35.0,-35.0
57,-35.0,-35.0,-35.0
58,-35.0,-35.0,-35.0
59,-99.0,-35.0,-35.0
60,-43.0,-35.0,-35.0
61,-99.0,-35.0,-35.0
62,-99.0,-35.0,-35.0
63,-99.0,-35.0,-35.0
64,-35.0,-35.0,-35.0
65,-35.0,-35.0,-35.0
66,-99.0,-35.0,-35.0
67,-35.0,-35.0,-35.0
68,-99.0,-35.0,-35.0
69,-51.0,-35.0,-35.0
70,-99.0,-35.0,-35.0
71,-99.0,-35.0,-35.0
72,-99.0,-35.0,-35.0
73,-99.0,-35.0,-35.0
74,-99.0,-35.0,-35.0
75,-99.0,-35.0,-35.0
76,-99.0,-35.0,-35.0
77,-35.0,-35.0,-35.0
78,-99.0,-35.0,-35.0
79,-35.0,-35.0,-35.0
80,-99.0,-35.0,-35.0
81,-35.0,-35.0,-35.0
82,-35.0,-35.0,-35.0
83,-99.0,-35.0,-35.0
84,-43.0,-35.0,-35.0
85,-99.0,-35.0,-35.0
86,-35.0,-35.0,-35.0
87,-99.0,-35.0,-35.0
88,-35.0,-35.0,-35.0
89,-99.0,-35.0,-35.0
90,-43.0,-35.0,-35.0
91,-51.0,-35.0,-35.0
92,-51.0,-35.0,-35.0
93,-35.0,-35.0,-35.0
94,-35.0,-35.0,-35.0
95,-99.0,-35.0,-35.0
96,-51.0,-35.0,-35.0
97,-51.0,-35.0,-35.0
98,-35.0,-35.0,-35.0
99,-43.0,-35.0,-35.0
100,-35.0,-35.0,-35.0
101,-99.0,-35.0,-35.0
102,-99.0,-35.0,-35.0
103,-51.0,-35.0,-35.0
104,-35.0,-35.0,-35.0
105,-51.0,-35.0,-35.0
106,-35.0,-35.0,-35.0
107,-35.0,-35.0,-35.0
108,-99.0,-35.0,-35.0
109,-99.0,-35.0,-35.0
110,-99.0,-35.0,-35.0
111,-99.0,-35.0,-35.0
112,-35.0,-35.0,-35.0
113,-99.0,-35.0,-35.0
114,-35.0,-35.0,-35.0
115,-99.0,-35.0,-35.0
116,-99.0,-35.0,-35.0
117,-35.0,-35.0,-35.0
118,-35.0,-35.0,-35.0
119,-99.0,-35.0,-35.0
120,-35.0,-35.0,-35.0
121,-99.0,-35.0,-35.0
122,-35.0,-35.0,-35.0
123,-99.0,-35.0,-35.0
124,-43.0,-35.0,-35.0
125,-51.0,-35.0,-35.0
126,-51.0,-35.0,-35.0
127,-43.0,-35.0,-35.0
128,-99.0,-35.0,-35.0
129,-35.0,-35.0,-35.0
130,-35.0,-35.0,-35.0
131,-99.0,-35.0,-35.0
132,-99.0,-35.0,-35.0
133,-51.0,-35.0,-35.0
134,-35.0,-35.0,-35.0
135,-43.0,-35.0,-35.0
136,-35.0,-35.0,-35.0
137,-35.0,-35.0,-35.0
138,-99.0,-35.0,-35.0
139,-43.0,-35.0,-35.0
140,-35.0,-35.0,-35.0
141,-99.0,-35.0,-35.0
142,-99.0,-35.0,-35.0
143,-35.0,-35.0,-35.0
144,-99.0,-35.0,-35.0
145,-99.0,-35.0,-35.0
146,-99.0,-35.0,-35.0
147,-51.0,-35.0,-35.0
148,-35.0,-35.0,-35.0
149,-43.0,-35.0,-35.0
150,-99.0,-35.0,-35.0
