iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness,particle_4_fitness,particle_5_fitness,particle_6_fitness,particle_7_fitness,particle_8_fitness,particle_9_fitness,particle_10_fitness
60,-62.5,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-52.5,-46.25
61,-60.0,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-55.0,-46.25
62,-55.0,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-52.5,-46.25
63,-48.75,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-60.0,-46.25
64,-48.75,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-60.0,-46.25
65,-48.75,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-57.5,-46.25
66,-47.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-50.0,-46.25
67,-56.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-60.0,-46.25
68,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-51.0,-46.25
69,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-52.5,-46.25
70,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-55.0,-46.25
71,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-52.5,-46.25
72,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-60.0,-46.25
73,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-52.5,-46.25
74,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-52.5,-46.25
75,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-52.5,-46.25
76,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-55.0,-46.25
77,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-62.5,-46.25
78,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-60.0,-46.25
79,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-62.5,-46.25
80,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-62.5,-46.25
81,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-55.0,-46.25
82,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-53.5,-46.25
83,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-55.0,-46.25
84,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-60.0,-46.25
85,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-51.0,-46.25
86,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-51.0,-46.25
87,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-48.75,-46.25
88,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-52.5,-46.25
89,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-55.0,-46.25
90,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-55.0,-46.25
91,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-60.0,-46.25
92,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-62.5,-46.25
93,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-48.75,-46.25
94,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-48.75,-46.25
95,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-52.5,-46.25
96,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-52.5,-46.25
97,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-60.0,-46.25
98,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-53.5,-46.25
99,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-55.0,-46.25
100,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-60.0,-46.25
