iteration,swarm_best_fitness
1,-47.5
2,-47.5
3,-47.5
4,-47.5
5,-47.5
6,-47.5
7,-46.25
8,-46.25
9,-46.25
10,-46.25
11,-46.25
12,-46.25
13,-46.25
14,-46.25
15,-46.25
16,-46.25
17,-46.25
18,-46.25
19,-46.25
20,-46.25
21,-46.25
22,-46.25
23,-46.25
24,-46.25
25,-46.25
26,-46.25
27,-46.25
28,-46.25
29,-46.25
30,-46.25
31,-46.25
32,-46.25
33,-46.25
34,-46.25
35,-46.25
36,-46.25
37,-46.25
38,-46.25
39,-46.25
40,-46.25
41,-46.25
42,-46.25
43,-46.25
44,-46.25
45,-46.25
46,-46.25
47,-46.25
48,-46.25
49,-46.25
50,-46.25
51,-46.25
52,-46.25
53,-46.25
54,-46.25
55,-46.25
56,-46.25
57,-46.25
58,-46.25
59,-46.25
60,-46.25
61,-46.25
62,-46.25
63,-46.25
64,-46.25
65,-46.25
66,-46.25
67,-46.25
68,-46.25
69,-46.25
70,-46.25
71,-46.25
72,-46.25
73,-46.25
74,-46.25
75,-46.25
76,-46.25
77,-46.25
78,-46.25
79,-46.25
80,-46.25
81,-46.25
82,-46.25
83,-46.25
84,-46.25
85,-46.25
86,-46.25
87,-46.25
88,-46.25
89,-46.25
90,-46.25
91,-46.25
92,-46.25
93,-46.25
94,-46.25
95,-46.25
96,-46.25
97,-46.25
98,-46.25
99,-46.25
100,-46.25
