iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness,particle_4_fitness,particle_5_fitness,particle_6_fitness,particle_7_fitness,particle_8_fitness,particle_9_fitness,particle_10_fitness
1,-45.83,-50.0,-48.12,-51.25,-42.5,-45.0,-45.0,-51.25,-48.57,-45.0
2,-50.0,-57.5,-43.96,-41.88,-51.25,-50.0,-57.5,-44.4,-40.83,-47.08
3,-53.33,-48.12,-50.0,-50.0,-57.5,-57.5,-51.25,-45.83,-40.83,-48.12
4,-44.4,-51.25,-57.5,-42.92,-43.96,-50.0,-50.0,-48.57,-40.83,-47.08
5,-49.17,-42.92,-50.0,-48.12,-57.5,-45.83,-48.57,-44.4,-40.83,-51.25
6,-41.88,-45.0,-41.67,-51.25,-47.08,-42.32,-49.17,-45.0,-40.83,-45.83
7,-43.75,-45.0,-48.57,-51.25,-51.25,-47.08,-48.12,-43.96,-40.83,-51.25
8,-48.57,-45.0,-48.57,-47.08,-45.0,-45.0,-51.25,-51.25,-40.83,-57.5
9,-48.12,-47.08,-51.25,-47.08,-41.67,-51.25,-57.5,-47.08,-40.83,-49.17
10,-47.08,-40.83,-43.75,-51.25,-51.25,-45.0,-50.0,-40.83,-40.83,-42.5
11,-47.08,-45.0,-51.25,-51.25,-50.0,-45.0,-51.25,-40.83,-40.83,-43.96
12,-47.08,-45.0,-41.88,-45.0,-51.25,-47.08,-48.12,-40.83,-40.83,-49.17
13,-45.0,-51.25,-47.08,-47.08,-57.5,-47.08,-53.33,-47.08,-40.83,-51.25
14,-51.25,-45.0,-47.08,-40.83,-51.25,-47.08,-49.17,-42.92,-40.83,-40.83
15,-51.25,-45.0,-47.08,-47.08,-42.92,-47.08,-48.12,-42.92,-40.83,-40.83
16,-51.25,-45.0,-47.08,-40.83,-42.92,-47.08,-49.17,-42.92,-40.83,-40.83
17,-51.25,-45.0,-40.83,-40.83,-40.83,-47.08,-49.17,-42.92,-40.83,-40.83
18,-45.0,-40.83,-40.83,-40.83,-40.83,-45.0,-53.33,-42.92,-40.83,-40.83
19,-40.83,-40.83,-40.83,-40.83,-40.83,-47.08,-57.5,-42.92,-40.83,-40.83
20,-42.92,-40.83,-40.83,-40.83,-40.83,-47.08,-45.83,-40.83,-40.83,-40.83
21,-42.92,-40.83,-40.83,-40.83,-40.83,-47.08,-40.83,-57.5,-43.75,-51.25
22,-50.0,-42.92,-47.08,-45.83,-57.5,-51.25,-40.83,-49.17,-50.0,-42.92
23,-50.0,-41.67,-42.92,-40.83,-57.5,-49.17,-40.83,-49.17,-40.83,-49.17
24,-49.17,-41.67,-42.92,-40.83,-49.17,-41.67,-40.83,-49.17,-40.83,-49.17
25,-40.83,-40.83,-40.83,-40.83,-40.83,-41.67,-40.83,-49.17,-40.83,-41.67
26,-40.83,-40.83,-40.83,-40.83,-40.83,-41.67,-40.83,-40.83,-40.83,-41.67
27,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
28,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
29,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
30,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
31,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
32,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
33,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
34,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
35,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
36,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
37,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
38,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
39,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
40,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
41,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
42,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
43,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
44,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
45,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
46,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
47,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
48,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
49,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
50,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
51,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
52,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
53,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
54,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
55,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
56,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
57,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
58,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
59,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
60,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
61,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
62,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
63,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
64,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
65,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
66,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
67,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
68,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
69,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
70,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
71,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
72,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
73,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
74,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
75,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
76,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
77,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
78,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
79,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83,-40.83
