iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3,tpd_particle_4,tpd_particle_5,tpd_particle_6,tpd_particle_7,tpd_particle_8,tpd_particle_9,tpd_particle_10
1,47.93,50.76,55.15,49.41,49.21,48.24,58.82,49.2,56.18,60.38
2,49.2,47.87,55.95,63.9,50.79,55.16,52.89,52.11,53.52,56.79
3,46.76,48.64,55.78,53.08,48.5,50.08,53.96,56.34,50.59,49.43
4,46.26,46.99,60.22,52.42,43.07,49.39,46.2,58.07,43.21,45.83
5,50.07,50.04,60.02,53.22,52.61,55.21,60.45,56.68,51.41,53.57
6,53.56,55.94,53.13,50.84,54.1,47.68,58.61,55.45,57.19,50.72
7,50.34,51.13,46.75,48.59,50.2,51.59,49.4,55.7,53.47,47.1
8,49.03,56.44,58.31,53.82,48.86,48.85,52.12,58.93,55.09,56.39
9,51.84,52.67,53.78,50.21,44.98,57.92,58.16,58.13,48.24,54.16
10,53.75,54.28,48.95,47.07,43.96,55.21,50.24,53.35,49.67,61.77
11,57.27,44.62,51.34,48.45,41.67,50.77,48.4,57.16,46.12,52.89
12,47.97,56.35,54.78,48.3,41.67,52.6,45.88,55.08,51.97,53.23
13,52.23,51.58,47.3,47.19,41.67,50.95,43.86,60.84,49.89,51.12
14,51.84,50.88,47.2,46.58,41.67,51.59,50.21,56.13,57.01,52.29
15,51.27,50.32,43.89,47.21,41.67,47.71,43.96,57.41,52.86,51.12
16,50.2,57.56,44.31,43.96,41.67,50.31,43.58,54.82,54.13,53.93
17,46.04,48.0,47.93,43.96,41.67,59.29,41.68,53.07,53.6,56.32
18,56.22,50.17,45.64,43.96,41.67,52.42,41.67,50.37,47.76,52.77
19,49.34,52.72,47.93,43.96,41.67,55.34,41.67,52.44,48.24,52.2
20,45.37,49.99,45.71,43.96,41.67,46.89,41.67,56.24,49.13,57.0
21,52.71,52.48,45.71,43.96,41.67,44.82,41.67,61.91,52.46,56.39
22,43.96,48.53,45.71,43.96,41.67,44.92,41.67,54.43,52.46,46.32
23,43.96,46.13,45.71,43.96,41.67,41.05,41.04,52.81,53.6,55.93
24,43.33,53.9,45.71,40.8,41.67,41.04,41.04,52.06,51.85,49.04
25,43.33,53.09,47.3,40.8,41.04,41.04,41.04,53.82,49.56,54.16
26,43.33,50.21,47.3,40.8,41.04,40.8,40.8,53.75,47.71,51.04
27,41.04,50.96,45.71,40.8,40.8,40.8,40.8,57.35,55.63,57.35
28,40.8,49.05,45.71,40.8,40.8,40.8,40.8,48.96,53.39,57.6
29,40.8,48.79,45.01,40.8,40.8,40.8,40.8,54.16,41.53,56.06
30,40.8,54.88,47.39,40.8,40.8,40.8,40.8,44.15,45.35,56.78
31,40.8,50.39,49.68,40.8,40.8,40.8,40.8,46.83,48.14,56.76
32,40.8,49.92,43.33,40.8,40.8,40.8,40.8,48.31,43.33,50.26
33,40.8,48.73,40.8,40.8,40.8,40.8,40.8,41.04,43.33,57.71
34,40.8,48.18,40.8,40.8,40.8,40.8,40.8,43.43,43.33,51.17
35,40.8,53.22,40.8,40.8,40.8,40.8,40.8,43.18,47.4,55.54
36,40.8,47.69,40.8,40.8,40.8,40.8,40.8,43.18,47.4,53.74
37,40.8,50.45,40.8,40.8,40.8,40.8,40.8,43.18,43.96,51.04
38,40.8,50.35,40.8,40.8,40.8,40.8,40.8,40.8,47.4,55.58
39,40.8,48.43,40.8,40.8,40.8,40.8,40.8,40.8,43.96,52.89
40,40.8,47.17,40.8,40.8,40.8,40.8,40.8,40.8,43.33,57.09
41,40.8,48.67,40.8,40.8,40.8,40.8,40.8,40.8,43.33,55.09
42,40.8,55.13,40.8,40.8,40.8,40.8,40.8,40.8,43.33,51.27
43,40.8,51.37,40.8,40.8,40.8,40.8,40.8,40.8,43.96,55.0
44,40.8,54.99,40.8,40.8,40.8,40.8,40.8,40.8,43.96,53.54
45,40.8,45.87,40.8,40.8,40.8,40.8,40.8,40.8,43.96,55.09
46,40.8,44.75,40.8,40.8,40.8,40.8,40.8,40.8,47.4,48.71
47,40.8,49.35,40.8,40.8,40.8,40.8,40.8,40.8,47.4,52.67
48,40.8,53.84,40.8,40.8,40.8,40.8,40.8,40.8,43.96,56.39
49,40.8,53.2,40.8,40.8,40.8,40.8,40.8,40.8,43.96,55.0
50,40.8,51.98,40.8,40.8,40.8,40.8,40.8,40.8,47.4,56.39
51,40.8,46.66,40.8,40.8,40.8,40.8,40.8,40.8,43.96,50.04
52,40.8,44.17,40.8,40.8,40.8,40.8,40.8,40.8,43.96,54.75
53,40.8,44.09,40.8,40.8,40.8,40.8,40.8,40.8,43.33,61.58
54,40.8,41.04,40.8,40.8,40.8,40.8,40.8,40.8,43.96,48.46
55,40.8,48.86,40.8,40.8,40.8,40.8,40.8,40.8,43.96,51.03
56,40.8,48.86,40.8,40.8,40.8,40.8,40.8,40.8,43.96,46.32
57,40.8,43.33,40.8,40.8,40.8,40.8,40.8,40.8,47.4,54.11
58,40.8,43.33,40.8,40.8,40.8,40.8,40.8,40.8,43.33,49.57
59,40.8,41.04,40.8,40.8,40.8,40.8,40.8,40.8,39.46,47.92
60,44.86,43.33,43.33,47.4,40.8,40.8,43.33,43.33,39.46,49.7
61,43.33,43.33,44.86,43.33,44.86,39.46,43.33,39.46,39.46,48.92
62,43.33,43.33,39.46,40.8,44.86,47.4,43.33,39.46,39.46,55.67
63,40.8,43.33,39.46,40.8,43.52,43.33,43.33,39.46,39.46,50.76
64,39.46,39.46,39.46,40.8,39.46,43.33,43.33,39.46,39.46,53.05
65,39.46,39.46,39.46,40.8,39.46,43.33,43.33,39.46,39.46,55.37
66,39.46,39.46,39.46,39.46,39.46,43.33,43.33,39.46,39.46,54.45
67,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,53.54
68,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,51.64
69,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,49.64
70,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,48.82
71,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,50.78
72,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,53.54
73,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,53.93
74,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,52.92
75,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,50.85
76,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,53.4
77,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,54.52
78,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,49.41
79,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,51.35
80,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,56.38
81,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,51.59
82,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,51.26
83,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,55.04
84,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,59.91
85,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,51.39
86,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,47.3
87,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,51.87
88,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,55.64
89,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,55.28
90,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,55.76
91,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,50.76
92,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,53.08
93,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,53.03
94,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,39.46,53.12
