iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3,tpd_particle_4,tpd_particle_5
1,187.42,201.29,321.69,350.7,305.94
2,293.31,196.72,290.99,295.15,192.11
3,294.38,321.62,313.89,203.81,311.7
4,189.6,392.21,275.72,185.11,193.75
5,211.63,208.09,215.57,192.28,330.15
6,211.09,212.05,193.48,316.73,320.68
7,193.49,273.02,190.7,188.06,199.07
8,203.23,200.37,287.89,185.11,205.51
9,195.06,315.23,192.03,185.11,332.13
10,226.27,346.65,177.23,192.46,187.77
11,202.17,274.64,186.15,209.54,189.31
12,199.4,201.47,177.23,192.33,213.26
13,310.11,209.26,177.23,204.59,176.57
14,213.23,328.04,177.45,195.85,176.57
15,217.69,204.97,187.51,195.85,176.57
16,204.54,197.88,176.57,185.18,176.57
17,204.54,284.93,176.57,195.85,176.57
18,307.74,217.57,176.57,185.18,176.57
19,196.74,339.3,176.57,187.25,176.57
20,207.23,336.44,176.57,187.25,176.57
21,206.3,328.42,176.57,176.3,176.3
22,233.07,194.02,176.3,176.3,176.57
23,222.42,186.87,176.3,176.3,176.57
24,207.9,193.53,176.3,176.3,176.57
25,225.3,196.69,176.3,176.3,176.3
26,233.87,176.57,176.3,176.3,176.3
27,201.49,273.43,176.3,176.3,176.3
28,216.0,176.57,176.3,176.3,176.3
29,310.47,176.57,176.3,176.3,176.3
30,202.54,176.57,176.3,176.3,176.3
31,301.37,176.3,176.3,176.3,176.3
32,207.26,176.3,176.3,176.3,176.3
33,232.51,176.3,176.3,176.3,176.3
34,289.88,176.3,176.3,176.3,176.3
35,325.51,176.3,176.3,176.3,176.3
36,210.75,176.3,176.3,176.3,176.3
37,202.28,176.3,176.3,176.3,176.3
38,204.48,176.3,176.3,176.3,176.3
39,221.71,176.3,176.3,176.3,176.3
40,315.67,176.3,176.3,176.3,176.3
41,206.38,176.3,176.3,176.3,176.3
42,191.01,176.3,176.3,176.3,176.3
43,217.8,176.3,176.3,176.3,176.3
44,183.94,176.3,176.3,176.3,176.3
45,207.72,176.3,176.3,176.3,176.3
46,184.69,176.3,176.3,176.3,176.3
47,184.87,176.3,176.3,176.3,176.3
48,177.97,176.3,176.3,176.3,176.3
49,183.73,176.3,176.3,176.3,176.3
50,183.73,176.3,176.3,176.3,176.3
51,183.73,176.3,176.3,176.3,176.3
52,176.3,176.3,176.3,176.3,176.3
53,176.3,176.3,176.3,176.3,176.3
54,176.3,176.3,176.3,176.3,176.3
55,176.3,176.3,176.3,176.3,176.3
56,176.3,176.3,176.3,176.3,176.3
57,176.3,176.3,176.3,176.3,176.3
58,176.3,176.3,176.3,176.3,176.3
59,176.3,176.3,176.3,176.3,176.3
60,176.3,176.3,176.3,176.3,176.3
61,176.3,176.3,176.3,176.3,176.3
62,176.3,176.3,176.3,176.3,176.3
63,176.3,176.3,176.3,176.3,176.3
64,176.3,176.3,176.3,176.3,176.3
65,176.3,176.3,176.3,176.3,176.3
66,176.3,176.3,176.3,176.3,176.3
67,176.3,176.3,176.3,176.3,176.3
68,176.3,176.3,176.3,176.3,176.3
69,176.3,176.3,176.3,176.3,176.3
70,176.3,176.3,176.3,176.3,176.3
71,176.3,176.3,176.3,176.3,176.3
72,176.3,176.3,176.3,176.3,176.3
73,176.3,176.3,176.3,176.3,176.3
74,176.3,176.3,176.3,176.3,176.3
75,176.3,176.3,176.3,176.3,176.3
76,176.3,176.3,176.3,176.3,176.3
77,176.3,176.3,176.3,176.3,176.3
78,176.3,176.3,176.3,176.3,176.3
79,176.3,176.3,176.3,176.3,176.3
80,176.3,176.3,176.3,176.3,176.3
81,176.3,176.3,176.3,176.3,176.3
