iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness,particle_4_fitness,particle_5_fitness
1,-46.36,-46.76,-52.63,-58.2,-46.44
2,-45.96,-48.3,-60.02,-46.37,-45.91
3,-52.52,-49.26,-58.77,-49.99,-45.89
4,-49.18,-57.44,-52.74,-55.69,-45.89
5,-50.8,-51.29,-59.76,-55.95,-45.89
6,-49.48,-58.43,-56.05,-46.04,-45.89
7,-45.16,-55.28,-51.32,-55.33,-49.01
8,-45.43,-50.06,-55.45,-51.09,-44.13
9,-50.53,-56.44,-51.93,-51.0,-46.65
10,-44.13,-47.04,-49.51,-55.67,-46.47
11,-46.17,-53.72,-59.81,-54.12,-44.13
12,-44.13,-46.5,-51.42,-48.64,-44.13
13,-44.8,-54.47,-49.17,-55.28,-44.13
14,-44.13,-53.35,-44.13,-54.45,-44.13
15,-44.13,-46.81,-45.43,-58.39,-44.13
16,-46.47,-45.66,-44.13,-50.25,-44.13
17,-44.13,-45.14,-46.5,-48.02,-44.13
18,-46.47,-46.46,-44.84,-55.4,-44.13
19,-44.13,-44.22,-44.84,-57.19,-44.13
20,-46.47,-50.3,-45.9,-51.43,-44.13
21,-44.13,-45.49,-45.9,-50.49,-44.13
22,-44.13,-41.49,-43.14,-46.39,-43.14
23,-45.48,-47.43,-44.59,-52.03,-44.59
24,-45.19,-47.43,-41.23,-56.02,-41.23
25,-45.83,-41.23,-41.23,-55.23,-41.23
26,-46.4,-41.23,-41.23,-50.56,-41.23
27,-45.58,-41.23,-41.23,-48.17,-41.23
28,-44.59,-41.23,-41.23,-48.8,-41.23
29,-44.59,-41.23,-41.23,-47.71,-41.23
30,-41.98,-41.23,-41.23,-45.44,-41.23
31,-41.98,-41.23,-41.23,-44.55,-41.23
32,-44.59,-41.23,-41.23,-52.51,-41.23
33,-46.4,-41.23,-41.23,-48.15,-41.23
34,-41.23,-41.23,-41.23,-41.23,-41.23
35,-41.23,-41.23,-41.23,-41.23,-41.23
36,-41.23,-41.23,-41.23,-41.23,-41.23
37,-41.23,-41.23,-41.23,-41.23,-41.23
38,-41.23,-41.23,-41.23,-41.23,-41.23
39,-41.23,-41.23,-41.23,-41.23,-41.23
40,-41.23,-41.23,-41.23,-41.23,-41.23
