iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness,particle_4_fitness,particle_5_fitness,particle_6_fitness,particle_7_fitness,particle_8_fitness,particle_9_fitness,particle_10_fitness
1,-46.36,-46.76,-52.63,-58.2,-46.44,-61.27,-56.66,-57.12,-63.44,-55.98
2,-47.93,-50.76,-55.15,-49.41,-49.21,-48.24,-58.82,-49.2,-56.18,-60.38
3,-49.2,-47.87,-55.95,-63.9,-50.79,-55.16,-52.89,-52.11,-53.52,-56.79
4,-46.76,-48.64,-55.78,-53.08,-48.5,-50.08,-53.96,-56.34,-50.59,-49.43
5,-46.26,-46.99,-60.22,-52.42,-43.07,-49.39,-46.2,-58.07,-43.21,-45.83
6,-50.07,-50.04,-60.02,-53.22,-52.61,-55.21,-60.45,-56.68,-51.41,-53.57
7,-53.56,-55.94,-53.13,-50.84,-54.1,-47.68,-58.61,-55.45,-57.19,-50.72
8,-50.34,-51.13,-46.75,-48.59,-50.2,-51.59,-49.4,-55.7,-53.47,-47.1
9,-49.03,-56.44,-58.31,-53.82,-48.86,-48.85,-52.12,-58.93,-55.09,-56.39
10,-51.84,-52.67,-53.78,-50.21,-44.98,-57.92,-58.16,-58.13,-48.24,-54.16
11,-53.75,-54.28,-48.95,-47.07,-43.96,-55.21,-50.24,-53.35,-49.67,-61.77
12,-57.27,-44.62,-51.34,-48.45,-41.67,-50.77,-48.4,-57.16,-46.12,-52.89
13,-47.97,-56.35,-54.78,-48.3,-41.67,-52.6,-45.88,-55.08,-51.97,-53.23
14,-52.23,-51.58,-47.3,-47.19,-41.67,-50.95,-43.86,-60.84,-49.89,-51.12
15,-51.84,-50.88,-47.2,-46.58,-41.67,-51.59,-50.21,-56.13,-57.01,-52.29
16,-51.27,-50.32,-43.89,-47.21,-41.67,-47.71,-43.96,-57.41,-52.86,-51.12
17,-50.2,-57.56,-44.31,-43.96,-41.67,-50.31,-43.58,-54.82,-54.13,-53.93
18,-46.04,-48.0,-47.93,-43.96,-41.67,-59.29,-41.68,-53.07,-53.6,-56.32
19,-56.22,-50.17,-45.64,-43.96,-41.67,-52.42,-41.67,-50.37,-47.76,-52.77
20,-49.34,-52.72,-47.93,-43.96,-41.67,-55.34,-41.67,-52.44,-48.24,-52.2
21,-45.37,-49.99,-45.71,-43.96,-41.67,-46.89,-41.67,-56.24,-49.13,-57.0
22,-52.71,-52.48,-45.71,-43.96,-41.67,-44.82,-41.67,-61.91,-52.46,-56.39
23,-43.96,-48.53,-45.71,-43.96,-41.67,-44.92,-41.67,-54.43,-52.46,-46.32
24,-43.96,-46.13,-45.71,-43.96,-41.67,-41.05,-41.04,-52.81,-53.6,-55.93
25,-43.33,-53.9,-45.71,-40.8,-41.67,-41.04,-41.04,-52.06,-51.85,-49.04
26,-43.33,-53.09,-47.3,-40.8,-41.04,-41.04,-41.04,-53.82,-49.56,-54.16
27,-43.33,-50.21,-47.3,-40.8,-41.04,-40.8,-40.8,-53.75,-47.71,-51.04
28,-41.04,-50.96,-45.71,-40.8,-40.8,-40.8,-40.8,-57.35,-55.63,-57.35
29,-40.8,-49.05,-45.71,-40.8,-40.8,-40.8,-40.8,-48.96,-53.39,-57.6
30,-40.8,-48.79,-45.01,-40.8,-40.8,-40.8,-40.8,-54.16,-41.53,-56.06
31,-40.8,-54.88,-47.39,-40.8,-40.8,-40.8,-40.8,-44.15,-45.35,-56.78
32,-40.8,-50.39,-49.68,-40.8,-40.8,-40.8,-40.8,-46.83,-48.14,-56.76
33,-40.8,-49.92,-43.33,-40.8,-40.8,-40.8,-40.8,-48.31,-43.33,-50.26
34,-40.8,-48.73,-40.8,-40.8,-40.8,-40.8,-40.8,-41.04,-43.33,-57.71
35,-40.8,-48.18,-40.8,-40.8,-40.8,-40.8,-40.8,-43.43,-43.33,-51.17
36,-40.8,-53.22,-40.8,-40.8,-40.8,-40.8,-40.8,-43.18,-47.4,-55.54
37,-40.8,-47.69,-40.8,-40.8,-40.8,-40.8,-40.8,-43.18,-47.4,-53.74
38,-40.8,-50.45,-40.8,-40.8,-40.8,-40.8,-40.8,-43.18,-43.96,-51.04
39,-40.8,-50.35,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-47.4,-55.58
40,-40.8,-48.43,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-43.96,-52.89
41,-40.8,-47.17,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-43.33,-57.09
42,-40.8,-48.67,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-43.33,-55.09
43,-40.8,-55.13,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-43.33,-51.27
44,-40.8,-51.37,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-43.96,-55.0
45,-40.8,-54.99,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-43.96,-53.54
46,-40.8,-45.87,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-43.96,-55.09
47,-40.8,-44.75,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-47.4,-48.71
48,-40.8,-49.35,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-47.4,-52.67
49,-40.8,-53.84,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-43.96,-56.39
50,-40.8,-53.2,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-43.96,-55.0
51,-40.8,-51.98,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-47.4,-56.39
52,-40.8,-46.66,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-43.96,-50.04
53,-40.8,-44.17,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-43.96,-54.75
54,-40.8,-44.09,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-43.33,-61.58
55,-40.8,-41.04,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-43.96,-48.46
56,-40.8,-48.86,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-43.96,-51.03
57,-40.8,-48.86,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-43.96,-46.32
58,-40.8,-43.33,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-47.4,-54.11
59,-40.8,-43.33,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-43.33,-49.57
60,-40.8,-41.04,-40.8,-40.8,-40.8,-40.8,-40.8,-40.8,-39.46,-47.92
61,-44.86,-43.33,-43.33,-47.4,-40.8,-40.8,-43.33,-43.33,-39.46,-49.7
62,-43.33,-43.33,-44.86,-43.33,-44.86,-39.46,-43.33,-39.46,-39.46,-48.92
63,-43.33,-43.33,-39.46,-40.8,-44.86,-47.4,-43.33,-39.46,-39.46,-55.67
64,-40.8,-43.33,-39.46,-40.8,-43.52,-43.33,-43.33,-39.46,-39.46,-50.76
65,-39.46,-39.46,-39.46,-40.8,-39.46,-43.33,-43.33,-39.46,-39.46,-53.05
66,-39.46,-39.46,-39.46,-40.8,-39.46,-43.33,-43.33,-39.46,-39.46,-55.37
67,-39.46,-39.46,-39.46,-39.46,-39.46,-43.33,-43.33,-39.46,-39.46,-54.45
68,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-53.54
69,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-51.64
70,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-49.64
71,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-48.82
72,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-50.78
73,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-53.54
74,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-53.93
75,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-52.92
76,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-50.85
77,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-53.4
78,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-54.52
79,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-49.41
80,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-51.35
81,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-56.38
82,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-51.59
83,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-51.26
84,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-55.04
85,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-59.91
86,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-51.39
87,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-47.3
88,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-51.87
89,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-55.64
90,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-55.28
91,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-55.76
92,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-50.76
93,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-53.08
94,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-53.03
95,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-53.12
96,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-56.02
97,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-52.51
98,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-48.21
99,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-51.04
100,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-55.23
101,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-54.75
102,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-50.78
103,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-55.61
104,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-49.56
105,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-48.76
106,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-51.64
107,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-50.38
108,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-51.78
109,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-55.93
110,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-48.94
111,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-55.61
112,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-48.76
113,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-53.54
114,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-55.67
115,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-46.32
116,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-47.32
117,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-55.61
118,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-53.69
119,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-57.47
120,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-55.61
121,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-57.0
122,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-48.95
123,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-61.58
124,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-56.39
125,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-57.37
126,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-56.38
127,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-55.53
128,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-56.39
129,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-53.53
130,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-53.04
131,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-53.53
132,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-51.86
133,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-52.67
134,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-47.02
135,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-50.78
136,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-54.75
137,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-55.61
138,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-47.11
139,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-52.48
140,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-51.64
141,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-59.68
142,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-51.47
143,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-50.27
144,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-56.19
145,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-39.46,-56.55
