iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3,tpd_particle_4,tpd_particle_5
1,50.17,68.16,66.75,52.45,66.91
2,66.48,66.04,54.86,72.99,59.73
3,50.68,52.57,56.6,44.04,62.35
4,55.31,60.99,77.98,54.23,63.82
5,69.52,58.88,55.75,62.31,69.64
6,68.86,61.37,58.42,54.25,58.43
7,56.9,54.92,66.43,46.14,56.36
8,61.93,70.21,64.47,44.04,46.79
9,71.28,48.24,60.39,44.04,64.25
10,71.04,62.04,62.08,44.04,60.39
11,62.12,59.31,67.42,44.04,69.82
12,78.11,66.52,68.85,47.24,56.65
13,56.92,54.27,67.49,44.04,58.38
14,58.47,61.03,68.16,44.04,59.79
15,67.86,51.22,74.49,44.04,54.2
16,59.19,51.51,64.09,44.04,43.3
17,82.74,65.35,64.99,54.68,43.3
18,70.67,68.86,58.94,53.36,43.3
19,51.88,56.65,63.88,52.31,43.3
20,68.8,65.15,73.62,41.95,42.63
21,71.38,55.73,64.88,41.95,41.95
22,57.07,77.27,67.11,52.31,41.95
23,57.89,71.37,54.9,41.95,41.95
24,70.14,64.24,50.34,41.95,41.95
25,76.48,59.15,58.74,41.95,41.95
26,60.6,74.69,63.92,41.95,41.95
27,58.49,46.4,70.53,41.95,41.95
28,68.53,73.42,60.87,41.95,41.95
29,55.26,68.61,56.42,41.95,41.95
30,69.65,76.55,56.42,41.95,41.95
31,63.82,72.04,55.85,41.95,41.95
32,70.75,63.07,56.15,41.95,41.95
33,60.27,62.62,56.14,41.95,41.95
34,72.72,64.87,52.72,41.95,41.95
35,76.17,70.98,58.94,41.95,41.95
36,64.68,54.77,58.4,41.95,41.95
37,84.11,55.71,58.53,41.95,41.95
38,82.57,68.27,58.75,41.95,41.95
39,71.2,64.28,55.35,41.95,41.95
40,63.27,62.91,54.93,41.95,41.95
41,73.09,64.69,56.22,41.95,41.95
42,70.86,64.74,63.56,41.95,41.95
43,67.26,59.44,65.39,41.95,41.95
44,57.52,57.66,56.12,41.95,41.95
45,61.99,68.97,53.92,41.95,41.95
46,75.18,50.09,61.37,41.95,41.95
47,72.9,64.81,59.03,41.95,41.95
48,75.41,64.98,59.42,41.95,41.95
49,57.76,62.37,56.42,41.95,41.95
50,59.0,59.58,54.1,41.95,41.95
51,64.23,57.71,58.47,41.95,41.95
52,81.58,61.84,59.89,41.95,41.95
53,69.09,62.95,65.93,41.95,41.95
54,66.9,48.02,65.39,41.95,41.95
55,65.89,63.66,64.81,41.95,41.95
56,56.78,65.65,68.14,41.95,41.95
57,62.34,78.74,65.27,41.95,41.95
58,79.69,60.59,64.84,41.95,41.95
59,60.04,61.85,58.75,41.95,41.95
60,55.73,52.78,57.54,41.95,41.95
61,59.68,59.16,56.64,41.95,41.95
62,74.48,63.27,56.64,41.95,41.95
63,70.47,69.61,56.64,41.95,41.95
64,57.94,54.6,59.19,41.95,41.95
65,70.49,57.08,58.0,41.95,41.95
66,64.08,60.57,56.42,41.95,41.95
67,67.55,69.37,63.2,41.95,41.95
68,82.27,62.19,59.89,41.95,41.95
69,64.11,64.8,59.89,41.95,41.95
70,60.67,63.87,58.53,41.95,41.95
71,59.44,58.36,55.84,41.95,41.95
72,69.93,60.24,57.08,41.95,41.95
73,61.22,56.54,55.13,41.95,41.95
74,68.47,59.83,57.54,41.95,41.95
75,79.51,52.59,58.75,41.95,41.95
76,71.99,48.3,57.58,41.95,41.95
77,53.89,68.73,58.03,41.95,41.95
78,79.8,58.46,58.53,41.95,41.95
79,70.59,58.52,55.26,41.95,41.95
80,68.9,56.72,54.72,41.95,41.95
81,74.58,71.42,58.53,41.95,41.95
82,81.53,80.53,58.46,41.95,41.95
83,90.59,72.34,63.2,41.95,41.95
84,74.6,63.87,57.59,41.95,41.95
85,82.75,50.26,64.92,41.95,41.95
