iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness,particle_4_fitness,particle_5_fitness,particle_6_fitness,particle_7_fitness,particle_8_fitness,particle_9_fitness,particle_10_fitness
1,-493.89,-541.98,-291.34,-249.75,-248.05,-258.1,-259.68,-194.67,-233.81,-290.09
2,-238.71,-204.97,-328.66,-225.38,-321.47,-201.67,-212.07,-189.46,-302.63,-223.53
3,-196.04,-299.06,-201.47,-277.6,-174.7,-353.52,-312.53,-296.58,-307.0,-198.2
4,-297.22,-293.88,-426.22,-217.24,-304.17,-313.6,-202.21,-343.96,-362.69,-278.72
5,-325.37,-202.26,-203.73,-188.83,-390.81,-296.17,-192.08,-314.64,-234.05,-316.48
6,-186.25,-205.78,-188.15,-204.05,-181.66,-219.19,-226.59,-321.88,-354.52,-280.67
7,-189.92,-191.74,-296.13,-202.18,-187.34,-181.9,-192.62,-313.27,-369.65,-187.19
8,-459.77,-192.16,-296.41,-179.79,-187.34,-319.8,-186.78,-212.02,-377.77,-322.53
9,-191.97,-295.79,-210.44,-295.48,-174.05,-313.02,-185.62,-295.29,-170.89,-443.67
10,-334.6,-313.23,-194.49,-197.34,-326.55,-312.28,-401.19,-302.03,-156.1,-255.41
11,-209.54,-326.24,-216.08,-212.46,-357.07,-209.72,-283.52,-195.47,-156.1,-272.31
12,-296.63,-203.75,-202.23,-194.45,-158.61,-423.11,-378.29,-228.64,-156.1,-169.5
13,-294.06,-190.68,-425.35,-359.64,-146.1,-336.58,-453.06,-191.33,-180.17,-321.71
14,-198.04,-193.32,-193.69,-272.86,-148.76,-327.79,-248.41,-206.46,-147.96,-149.56
15,-323.58,-147.96,-327.07,-431.33,-147.96,-284.84,-156.97,-188.23,-147.96,-258.03
16,-262.24,-301.76,-195.13,-340.06,-147.96,-350.99,-242.29,-194.41,-146.1,-146.1
17,-289.44,-147.7,-201.99,-181.24,-146.1,-457.93,-156.08,-173.15,-146.1,-146.1
18,-203.72,-147.7,-194.3,-182.98,-146.1,-209.72,-156.08,-184.47,-146.1,-146.1
19,-215.74,-147.7,-196.11,-344.61,-146.1,-204.15,-154.86,-155.67,-146.1,-146.1
20,-204.92,-147.7,-279.88,-204.48,-146.1,-369.49,-154.86,-155.67,-146.1,-146.1
21,-190.91,-146.1,-318.87,-182.24,-146.1,-161.09,-154.86,-155.67,-146.1,-146.1
22,-190.74,-146.1,-204.81,-195.5,-146.1,-261.97,-154.86,-155.67,-146.1,-146.1
23,-370.33,-146.1,-223.1,-184.59,-146.1,-160.8,-146.1,-154.86,-146.1,-146.1
24,-342.86,-146.1,-194.53,-268.28,-146.1,-146.1,-146.1,-154.86,-146.1,-146.1
25,-421.43,-146.1,-205.44,-272.28,-146.1,-146.1,-146.1,-154.86,-146.1,-146.1
26,-392.17,-146.1,-300.22,-414.64,-146.1,-146.1,-146.1,-154.86,-146.1,-146.1
27,-279.8,-146.1,-213.79,-358.72,-146.1,-146.1,-146.1,-146.1,-146.1,-146.1
28,-216.96,-146.1,-193.53,-195.67,-146.1,-146.1,-146.1,-146.1,-146.1,-146.1
